SOURCE_PATH	SOURCE_LINE_START	SOURCE_LINE_END	SOURCE_HEADING	TARGET_MODULE	TARGET_SECTION	STATUS	CONFLICT_ID	UNIQUE_INFORMATION	EVIDENCE_LINK	NOTES
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	160	174	3.2 Missing Category Policy	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	Missing Category Resolver	MERGE_REQUIRED	LEGACY_ALPHA_UX_VS_NUMERIC_UX	YES	none	Fallback to numeric Other/Review
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	175	193	3.3 Critical Missing Fields	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	Critical Fields Validation	MERGE_REQUIRED	LEGACY_ALPHA_UX_VS_NUMERIC_UX	YES	none	Missing account flow
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	194	245	4. Email-to-Telegram Clarification Bridge	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	Email Ingestion Bridge	MERGE_REQUIRED	REVIEW_QUEUE_FALLBACK_VS_APPROVAL_STAGING	YES	none	Bridge state storage
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	246	249	5. Email Security Policy	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	Security Policy	MERGE_REQUIRED	none	YES	none	Ingestion security intro
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	250	256	5.1 Default Mode	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	Security Default Mode	MERGE_REQUIRED	EMAIL_DEFAULT_OFF_VS_ACTIVE_RUNTIME	YES	none	Default email intake state
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	257	270	5.2 Allowed v1 Behavior	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	Allowed v1 Inflow Rules	MERGE_REQUIRED	EMAIL_DEFAULT_OFF_VS_ACTIVE_RUNTIME	YES	none	Whitelisted providers
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	271	305	5.3 Sensitive Email Hard-Block	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	Ingestion Exclusions	MERGE_REQUIRED	none	YES	none	Password and OTP filters
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	306	343	6. Router Policy	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	Transaction Router	MERGE_REQUIRED	REVIEW_QUEUE_FALLBACK_VS_APPROVAL_STAGING	YES	none	Tab routing rules
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	344	345	7. Data Tabs	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	Workbook Schema Overview	CURRENT	none	YES	none	Sheet data tabs intro
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	346	422	7.1 Account Ledger	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	Account Ledger Schema	CURRENT	none	YES	none	Account Ledger columns
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	423	451	7.2 Credit Card	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	Credit Card Schema	CURRENT	none	YES	none	Credit Card columns
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	452	475	7.3 Hutang	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	Hutang Schema	CURRENT	none	YES	none	Hutang columns
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	476	501	7.4 Aset	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	Aset Schema	CURRENT	none	YES	none	Aset columns
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	502	527	7.5 Cicilan Rumah	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	Cicilan Rumah Schema	CURRENT	none	YES	none	Cicilan Rumah columns
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	528	633	7.6 Finance Events	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	Finance Events Schema	CURRENT	none	YES	none	Finance Events log columns
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	634	654	7.7 Review Queue	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	Review Queue Schema	MERGE_REQUIRED	REVIEW_QUEUE_FALLBACK_VS_APPROVAL_STAGING	YES	none	Review Queue columns
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	655	693	7.8 Audit Log	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	Audit Log Schema	CURRENT	none	YES	none	Audit Log columns
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	694	728	7.9 Email Ingestion Log	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	Email Ingestion Log Schema	CURRENT	none	YES	none	Email Ingestion columns
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	729	765	8. Partial Write Recovery	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	Partial Write Handling	CURRENT	none	YES	none	Lock-unlock mechanisms
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	766	767	9. Reconciliation	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	Reconciliation Policy	CURRENT	none	YES	none	Reconciliation overview
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	768	782	9.1 Light Reconciliation	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	Light Reconciliation Routine	CURRENT	none	YES	none	Manual spreadsheet check
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	783	814	9.2 Full Reconciliation	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	Full Reconciliation Routine	CURRENT	none	YES	none	Automated Python verification
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	815	824	10. Data Status	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	Data Quality Statuses	CURRENT	none	YES	none	Trusted, Warning, Dirty states
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	825	835	Trusted	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	Trusted Data Definition	CURRENT	none	YES	none	Reconciled ledger state
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	836	846	Warning	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	Warning Data Definition	CURRENT	none	YES	none	Unreconciled and manual entries
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	847	863	Dirty	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	Dirty Data Definition	CURRENT	none	YES	none	Out of sync or error states
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	864	906	11. Net Worth Policy	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	Net Worth Calculations	CURRENT	none	YES	none	Formula definitions
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	907	930	12. Dashboard Final Vision	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	Dashboard Design System	CURRENT	none	YES	none	Visual layout guidelines
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	931	955	12.1 Visual Principles	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	Dashboard Visual Guidelines	CURRENT	none	YES	none	Typography and aesthetics
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	956	969	12.2 Dashboard Layout	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	Dashboard Sections Map	CURRENT	none	YES	none	Workspace row mapping
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	970	990	12.3 Topbar	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	Dashboard Topbar Component	CURRENT	none	YES	none	Formulas in B2
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	991	1014	12.4 Action Required	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	Action Required Component	CURRENT	none	YES	none	Review Queue rows count
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	1015	1042	12.5 Executive Command Center	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	Executive Command Panel	CURRENT	none	YES	none	Reconciliation status panel
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	1043	1066	12.6 Wallet & Cashflow Board	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	Wallet & Cashflow Panels	CURRENT	none	YES	none	Liquid funds and cc limits
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	1067	1088	12.7 Domain Health	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	Domain Health Components	CURRENT	none	YES	none	Hutang, Cicilan, Gold panels
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	1089	1108	12.8 Spending Intelligence	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	Spending Panel Components	CURRENT	none	YES	none	Monthly distribution tracking
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	1109	1138	12.9 Data Quality Center	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	Data Quality Panels	CURRENT	none	YES	none	Audit trailing display
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	1139	1153	12.10 Smart Insight Panel	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	Smart Insights component	CURRENT	none	YES	none	Cashflow buffer warnings
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	1154	1178	12.11 Conditional Email Ingestion Status	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	Gmail Ingestion Component	CURRENT	none	YES	none	Poller trigger status block
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	1179	1200	13. Metric Source of Truth	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	Dashboard Metric Sources	CURRENT	none	YES	none	Formulas references list
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	1201	1214	14. Dashboard Gating Rules	docs/afpd/02_ARCHITECTURE_AND_GOVERNANCE.md	Visual Review Gates	CURRENT	none	YES	none	Change-management constraints
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	1215	1264	15. Proactive Telegram Alert Engine	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	Alert Engine	CURRENT	none	YES	none	Webhook notification dispatch
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	1265	1297	16. Cash Ledger Policy	docs/afpd/99_HISTORICAL_AND_SUPERSEDED.md	Legacy Cash Ledger	SUPERSEDED	none	YES	none	Neutralized cash-mirror policy
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	1298	1319	17. Transactions Policy	docs/afpd/99_HISTORICAL_AND_SUPERSEDED.md	Legacy Transactions Tab	SUPERSEDED	none	YES	none	Deprecation redirection details
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	1320	1321	18. Final Roadmap	docs/afpd/08_ROADMAP.md	Ecosystem Roadmap	HISTORICAL	none	YES	none	Roadmap index
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	1322	1355	Sprint 0A - Telegram Clarification Closure	docs/afpd/08_ROADMAP.md	Sprint 0A Roadmap	HISTORICAL	none	YES	none	Completed
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	1356	1382	Sprint 0B - Email Ambiguity Research & Bridge Design	docs/afpd/08_ROADMAP.md	Sprint 0B Roadmap	HISTORICAL	none	YES	none	Completed
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	1383	1410	Sprint 1 - Account Ledger Hardening	docs/afpd/08_ROADMAP.md	Sprint 1 Roadmap	HISTORICAL	none	YES	none	Completed
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	1411	1434	Sprint 2 - Domain Tabs Maturation	docs/afpd/08_ROADMAP.md	Sprint 2 Roadmap	HISTORICAL	none	YES	none	Completed
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	1435	1459	Sprint 3 - Cash Ledger Removal	docs/afpd/08_ROADMAP.md	Sprint 3 Roadmap	HISTORICAL	none	YES	none	Completed
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	1460	1491	Sprint 4 - Finance Events v1	docs/afpd/08_ROADMAP.md	Sprint 4 Roadmap	HISTORICAL	none	YES	none	Completed
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	1492	1517	Sprint 5 - Audit, Reconciliation, Partial Recovery	docs/afpd/08_ROADMAP.md	Sprint 5 Roadmap	HISTORICAL	none	YES	none	Completed
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	1518	1554	Sprint 6 - Dashboard Final	docs/afpd/08_ROADMAP.md	Sprint 6 Roadmap	HISTORICAL	none	YES	none	Completed
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	1555	1580	Sprint 6B - Proactive Telegram Alert Engine v1	docs/afpd/08_ROADMAP.md	Sprint 6B Roadmap	HISTORICAL	none	YES	none	Completed
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	1581	1610	Sprint 7 - Email Ingestion v1, Outline Only	docs/afpd/08_ROADMAP.md	Sprint 7 Roadmap	HISTORICAL	none	YES	none	Completed
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	1611	1639	19. Rules for Future AI/Developer	docs/afpd/02_ARCHITECTURE_AND_GOVERNANCE.md	Developer Guidelines	CURRENT	none	YES	none	Instructional parameters
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	1640	1675	20. New Chat Bootstrap	docs/afpd/02_ARCHITECTURE_AND_GOVERNANCE.md	Session Bootstrapping	CURRENT	none	YES	none	Startup procedure
ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	1676	1712	21. New Chat Execution Prompt	docs/afpd/02_ARCHITECTURE_AND_GOVERNANCE.md	Task Execution Prompt	CURRENT	none	YES	none	Execution instructions
ARFIN.md	1	6	ARFIN	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	Arfin Module Intro	CURRENT	AUTHORITY_FINAL_KITAB_VS_ARFIN	YES	none	Arfin runtime contract entrypoint
ARFIN.md	7	12	Read First	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	Bootstrap Pointers	CURRENT	none	YES	none	Session start directive
ARFIN.md	13	42	Telegram UX	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	Telegram Prompts	CURRENT	LEGACY_ALPHA_UX_VS_NUMERIC_UX	YES	none	Menu-based prompts
ARFIN.md	43	67	Email Flow	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	Email Flow Handler	CURRENT	EMAIL_DEFAULT_OFF_VS_ACTIVE_RUNTIME	YES	none	Poller clarification sequence
ARFIN.md	68	103	Direction	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	Direction Classifier	CURRENT	none	YES	none	Income and expense regex rules
ARFIN.md	104	117	Category	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	Category prompts UX	CURRENT	LEGACY_ALPHA_UX_VS_NUMERIC_UX	YES	none	Numeric category menus
ARFIN.md	118	131	Admin	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	Admin Command Handlers	CURRENT	none	YES	none	Admin commands checking/clearing
ARFIN.md	132	150	Review Queue	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	Review Queue writes	CURRENT	REVIEW_QUEUE_FALLBACK_VS_APPROVAL_STAGING	YES	none	Queue persistence fields
ARFIN.md	151	187	Approval	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	Approval posting routines	CURRENT	REVIEW_QUEUE_FALLBACK_VS_APPROVAL_STAGING	YES	none	Bridge transfer postings
ARFIN.md	188	206	Ledger	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	Account Ledger writes	CURRENT	none	YES	none	Balance movements rules
ARFIN.md	207	224	Tests	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	Validation Tests List	CURRENT	none	YES	none	Mandatory tests cases
ARFIN.md	225	236	Forbidden	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	Operational Guardrails	CURRENT	none	YES	none	Forbidden actions list
