RULE_ID	SOURCE_PATH	SOURCE_LINE	SOURCE_HEADING	SOURCE_RULE	RULE_CATEGORY	RULE_STRENGTH	TARGET_PATH	TARGET_LINE	TARGET_HEADING	TARGET_RULE	SEMANTIC_MATCH	STRENGTH_PRESERVED	EXCEPTION_PRESERVED	MIGRATION_STATUS	NOTES
NKTB_015	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	29	0. Executive Decision	+ audit/reconciliation safety	MIGRATION_RULE	SHOULD	docs/afpd/02_ARCHITECTURE_AND_GOVERNANCE.md	70	Normative Rules	+ audit/reconciliation safety	YES	YES	YES	PRESERVED_EXACT	none
NKTB_016	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	30	General Paragraph	+ proactive Telegram alerting	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	218	Normative Rules	+ proactive Telegram alerting	YES	YES	YES	PRESERVED_EXACT	none
NKTB_017	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	31	General Paragraph	+ premium dashboard command center	MIGRATION_RULE	SHOULD	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	213	Normative Rules	+ premium dashboard command center	YES	YES	YES	PRESERVED_EXACT	none
NKTB_018	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	32	General Paragraph	```	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	219	Normative Rules	```	YES	YES	YES	PRESERVED_EXACT	none
NKTB_019	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	34	General Paragraph	Final decisions:	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	220	Normative Rules	Final decisions:	YES	YES	YES	PRESERVED_EXACT	none
NKTB_020	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	36	General Paragraph	```text	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	221	Normative Rules	```text	YES	YES	YES	PRESERVED_EXACT	none
NKTB_021	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	37	0. Executive Decision	Account Ledger = wallet/account movement ledger	MIGRATION_RULE	SHOULD	docs/afpd/02_ARCHITECTURE_AND_GOVERNANCE.md	71	Normative Rules	Account Ledger = wallet/account movement ledger	YES	YES	YES	PRESERVED_EXACT	none
NKTB_022	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	38	0. Executive Decision	Domain Tabs = Credit Card, Hutang, Aset, Cicilan Rumah	MIGRATION_RULE	SHOULD	docs/afpd/02_ARCHITECTURE_AND_GOVERNANCE.md	72	Normative Rules	Domain Tabs = Credit Card, Hutang, Aset, Cicilan Rumah	YES	YES	YES	PRESERVED_EXACT	none
NKTB_023	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	39	0. Executive Decision	Finance Events = central event index, not a balance ledger	MIGRATION_RULE	SHOULD	docs/afpd/02_ARCHITECTURE_AND_GOVERNANCE.md	73	Normative Rules	Finance Events = central event index, not a balance ledger	YES	YES	YES	PRESERVED_EXACT	none
NKTB_024	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	40	0. Executive Decision	Dashboard = intelligence cockpit, not source-of-truth	MIGRATION_RULE	SHOULD	docs/afpd/02_ARCHITECTURE_AND_GOVERNANCE.md	74	Normative Rules	Dashboard = intelligence cockpit, not source-of-truth	YES	YES	YES	PRESERVED_EXACT	none
NKTB_025	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	41	0. Executive Decision	Transactions = reserved/future project for PDF/bank mutation work	MIGRATION_RULE	SHOULD	docs/afpd/02_ARCHITECTURE_AND_GOVERNANCE.md	75	Normative Rules	Transactions = reserved/future project for PDF/bank mutation work	YES	YES	YES	PRESERVED_EXACT	none
NKTB_026	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	42	0. Executive Decision	Cash Ledger = transitional; delete after dependency removal	MIGRATION_RULE	SHOULD	docs/afpd/99_HISTORICAL_AND_SUPERSEDED.md	24	Normative Rules	Cash Ledger = transitional; delete after dependency removal	YES	YES	YES	PRESERVED_HISTORICAL	none
NKTB_027	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	43	0. Executive Decision	Email Ingestion = optional passive input, default OFF	MIGRATION_RULE	SHOULD	docs/afpd/02_ARCHITECTURE_AND_GOVERNANCE.md	76	Normative Rules	Email Ingestion = optional passive input, default OFF	YES	YES	YES	PRESERVED_EXACT	none
NKTB_028	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	44	0. Executive Decision	Review Queue = fallback after clarification fails, not first destination	MIGRATION_RULE	SHOULD	docs/afpd/02_ARCHITECTURE_AND_GOVERNANCE.md	77	Normative Rules	Review Queue = fallback after clarification fails, not first destination	YES	YES	YES	PRESERVED_EXACT	none
NKTB_029	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	45	General Paragraph	```	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	222	Normative Rules	```	YES	YES	YES	PRESERVED_EXACT	none
NKTB_030	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	47	0. Executive Decision	The system must continue from existing routing and workbook structure. It must not force all data into a new architecture or rebuild from zero.	MIGRATION_RULE	MUST	docs/afpd/02_ARCHITECTURE_AND_GOVERNANCE.md	78	Normative Rules	The system must continue from existing routing and workbook structure. It must not force all data into a new architecture or rebuild from zero.	YES	YES	YES	PRESERVED_EXACT	none
NKTB_031	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	49	General Paragraph	---	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	223	Normative Rules	---	YES	YES	YES	PRESERVED_EXACT	none
NKTB_032	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	53	1. Core Principles	1. Preserve existing architecture unless a breaking change is explicitly approved.	MIGRATION_RULE	SHOULD	docs/afpd/01_PROJECT_CHARTER.md	40	Normative Rules	1. Preserve existing architecture unless a breaking change is explicitly approved.	YES	YES	YES	PRESERVED_EXACT	none
NKTB_033	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	54	1. Core Principles	2. Clarification-first is mandatory for Telegram and future Email input.	MIGRATION_RULE	SHOULD	docs/afpd/01_PROJECT_CHARTER.md	41	Normative Rules	2. Clarification-first is mandatory for Telegram and future Email input.	YES	YES	YES	PRESERVED_EXACT	none
NKTB_034	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	55	1. Core Principles	3. Missing category is ambiguity, not clean data.	MIGRATION_RULE	SHOULD	docs/afpd/01_PROJECT_CHARTER.md	42	Normative Rules	3. Missing category is ambiguity, not clean data.	YES	YES	YES	PRESERVED_EXACT	none
NKTB_035	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	56	1. Core Principles	4. Missing critical fields must block clean write.	MIGRATION_RULE	MUST	docs/afpd/01_PROJECT_CHARTER.md	43	Normative Rules	4. Missing critical fields must block clean write.	YES	YES	YES	PRESERVED_EXACT	none
NKTB_036	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	57	1. Core Principles	5. OTP/security email must be hard-blocked before finance parsing.	MIGRATION_RULE	MUST	docs/afpd/01_PROJECT_CHARTER.md	44	Normative Rules	5. OTP/security email must be hard-blocked before finance parsing.	YES	YES	YES	PRESERVED_EXACT	none
NKTB_037	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	58	1. Core Principles	6. Data quality must affect dashboard trust status.	MIGRATION_RULE	MUST	docs/afpd/01_PROJECT_CHARTER.md	45	Normative Rules	6. Data quality must affect dashboard trust status.	YES	YES	YES	PRESERVED_EXACT	none
NKTB_038	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	59	1. Core Principles	7. Account Ledger records wallet movement only.	MIGRATION_RULE	SHOULD	docs/afpd/01_PROJECT_CHARTER.md	46	Normative Rules	7. Account Ledger records wallet movement only.	YES	YES	YES	PRESERVED_EXACT	none
NKTB_039	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	60	1. Core Principles	8. Domain tabs keep domain-specific truth.	MIGRATION_RULE	SHOULD	docs/afpd/01_PROJECT_CHARTER.md	47	Normative Rules	8. Domain tabs keep domain-specific truth.	YES	YES	YES	PRESERVED_EXACT	none
NKTB_040	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	61	1. Core Principles	9. Finance Events indexes cross-domain events.	MIGRATION_RULE	SHOULD	docs/afpd/01_PROJECT_CHARTER.md	48	Normative Rules	9. Finance Events indexes cross-domain events.	YES	YES	YES	PRESERVED_EXACT	none
NKTB_041	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	62	1. Core Principles	10. Dashboard must be actionable, data-trust aware, and visually disciplined.	MIGRATION_RULE	MUST	docs/afpd/01_PROJECT_CHARTER.md	49	Normative Rules	10. Dashboard must be actionable, data-trust aware, and visually disciplined.	YES	YES	YES	PRESERVED_EXACT	none
NKTB_042	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	64	General Paragraph	---	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	224	Normative Rules	---	YES	YES	YES	PRESERVED_EXACT	none
NKTB_043	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	70	General Paragraph	```text	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	225	Normative Rules	```text	YES	YES	YES	PRESERVED_EXACT	none
NKTB_044	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	71	General Paragraph	Telegram Input	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	226	Normative Rules	Telegram Input	YES	YES	YES	PRESERVED_EXACT	none
NKTB_045	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	72	General Paragraph	+ Optional Email Notification Input	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	227	Normative Rules	+ Optional Email Notification Input	YES	YES	YES	PRESERVED_EXACT	none
NKTB_046	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	73	General Paragraph	+ Future Bank Mutation Input	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	228	Normative Rules	+ Future Bank Mutation Input	YES	YES	YES	PRESERVED_EXACT	none
NKTB_047	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	74	General Paragraph	```	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	229	Normative Rules	```	YES	YES	YES	PRESERVED_EXACT	none
NKTB_048	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	78	General Paragraph	Telegram is the active/manual/interactive channel.	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	230	Normative Rules	Telegram is the active/manual/interactive channel.	YES	YES	YES	PRESERVED_EXACT	none
NKTB_049	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	80	General Paragraph	Used for:	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	231	Normative Rules	Used for:	YES	YES	YES	PRESERVED_EXACT	none
NKTB_050	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	82	General Paragraph	```text	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	232	Normative Rules	```text	YES	YES	YES	PRESERVED_EXACT	none
NKTB_051	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	83	General Paragraph	natural-language transaction input	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	233	Normative Rules	natural-language transaction input	YES	YES	YES	PRESERVED_EXACT	none
NKTB_052	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	84	General Paragraph	clarification responses	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	234	Normative Rules	clarification responses	YES	YES	YES	PRESERVED_EXACT	none
NKTB_053	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	85	General Paragraph	admin commands	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	235	Normative Rules	admin commands	YES	YES	YES	PRESERVED_EXACT	none
NKTB_054	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	86	2.1 Telegram Input	approval actions	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	236	Normative Rules	approval actions	YES	YES	YES	PRESERVED_EXACT	none
NKTB_055	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	87	General Paragraph	proactive alerts	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	237	Normative Rules	proactive alerts	YES	YES	YES	PRESERVED_EXACT	none
NKTB_056	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	88	General Paragraph	```	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	238	Normative Rules	```	YES	YES	YES	PRESERVED_EXACT	none
NKTB_057	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	92	General Paragraph	Email is optional, passive, and default OFF.	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	239	Normative Rules	Email is optional, passive, and default OFF.	YES	YES	YES	PRESERVED_EXACT	none
NKTB_058	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	94	2.2 Email Notification Input	Email input is only for transaction notification email from bank/credit card issuers. It is not for PDF statement ingestion. Ambiguous email must be clarified through Telegram.	MIGRATION_RULE	MUST	docs/afpd/05_STATE_MACHINES.md	25	Normative Rules	Email input is only for transaction notification email from bank/credit card issuers. It is not for PDF statement ingestion. Ambiguous email must be clarified through Telegram.	YES	YES	YES	PRESERVED_EXACT	none
NKTB_059	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	96	General Paragraph	Rules:	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	240	Normative Rules	Rules:	YES	YES	YES	PRESERVED_EXACT	none
NKTB_060	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	98	General Paragraph	```text	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	241	Normative Rules	```text	YES	YES	YES	PRESERVED_EXACT	none
NKTB_061	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	99	2.2 Email Notification Input	email_ingestion_enabled = false by default	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	242	Normative Rules	email_ingestion_enabled = false by default	YES	YES	YES	PRESERVED_EXACT	none
NKTB_062	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	100	2.2 Email Notification Input	read-only / dry-run first	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	243	Normative Rules	read-only / dry-run first	YES	YES	YES	PRESERVED_EXACT	none
NKTB_063	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	101	2.2 Email Notification Input	metadata-only storage	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	244	Normative Rules	metadata-only storage	YES	YES	YES	PRESERVED_EXACT	none
NKTB_064	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	102	General Paragraph	no full email body storage	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	245	Normative Rules	no full email body storage	YES	YES	YES	PRESERVED_EXACT	none
NKTB_065	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	103	General Paragraph	no OTP/security parsing	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	246	Normative Rules	no OTP/security parsing	YES	YES	YES	PRESERVED_EXACT	none
NKTB_066	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	104	General Paragraph	no OTP/security forwarding to Telegram	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	247	Normative Rules	no OTP/security forwarding to Telegram	YES	YES	YES	PRESERVED_EXACT	none
NKTB_067	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	105	General Paragraph	no automatic ledger write until parser is proven	MIGRATION_RULE	SHOULD	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	214	Normative Rules	no automatic ledger write until parser is proven	YES	YES	YES	PRESERVED_EXACT	none
NKTB_068	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	106	General Paragraph	```	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	248	Normative Rules	```	YES	YES	YES	PRESERVED_EXACT	none
NKTB_069	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	110	General Paragraph	This is a separate future project.	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	249	Normative Rules	This is a separate future project.	YES	YES	YES	PRESERVED_EXACT	none
NKTB_070	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	112	General Paragraph	```text	MIGRATION_RULE	SHOULD	docs/afpd/03_ARFIN_RUNTIME_CONTRACT.md	250	Normative Rules	```text	YES	YES	YES	PRESERVED_EXACT	none
NKTB_071	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	113	General Paragraph	PDF/statement upload	MIGRATION_RULE	SHOULD	docs/afpd/05_STATE_MACHINES.md	26	Normative Rules	PDF/statement upload	YES	YES	YES	PRESERVED_EXACT	none
NKTB_072	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	114	General Paragraph	 Bank Mutations / Statement Transactions	MIGRATION_RULE	SHOULD	docs/afpd/05_STATE_MACHINES.md	27	Normative Rules	 Bank Mutations / Statement Transactions	YES	YES	YES	PRESERVED_EXACT	none
NKTB_073	ecosystem/projects/vortex-ai-skill-lab/docs/AIRO_FINANCE_COMMAND_CENTER_FINAL_KITAB.md	115	General Paragraph	 separate bank mutation dashboard	MIGRATION_RULE	SHOULD	docs/afpd/06_DATA_AND_WORKBOOK_CONTRACTS.md	215	Normative Rules	 separate bank mutation dashboard	YES	YES	YES	PRESERVED_EXACT	none
