workbook	sheet	physical_row	item	sub_item_1	sub_item_2	indicator	mandatory_source	mandatory_normalized	item_source_ref	item_source_kind	sub1_source_ref	sub1_source_kind	sub2_source_ref	sub2_source_kind	indicator_source_ref	mandatory_source_ref	mandatory_source_kind
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	14	Material Promosi Eksterior		Umbul-Umbul  & T Banner / Vertical Honda Banner Big Bike	"1. Memasang spanduk di dinding / pagar dealer / halaman Dealer 
2. Spanduk dalam keadaan bersih dari kotoran/debu, tidak terlipat, tidak bertumpukan  dengan material promosi lain
3. Design dan Periode pemasangan*
* Sesuai dengan ketentuan PT. AHM.(Kode produksi dicantumkan)"			B14	DIRECT	C14	SOURCE_BLANK	D14	DIRECT	E14	F14	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	15	Material Promosi Eksterior		Product Banner/ Spanduk	"1. Memasang spanduk mengacu pada Line Up Bulanan yang dikirimkan AHM
2. Ditempatkan di Pagar Dealer / Dinding Halaman Dealer / Dibawah Kanopi Dealer (Janggutan)
3. Spanduk dalam keadaan :  
- bersih dari kotoran/debu
- tidak terlipat
- tidak bertumpukan dengan material promosi lain
- tidak melendut
- tidak berkibar (sisi kanan dan kiri harus terikat)
4. Design dan Periode pemasangan Sesuai dengan Line Up Bulanan"			B15	DIRECT	C15	SOURCE_BLANK	D15	DIRECT	E15	F15	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	16	Material Promosi Eksterior		"HGP atau AHM Oil Banner dan Vertical Banner
"	"1.Banner ditempatkan  di pagar dealer/dinding halaman dealer dibawah kanopi halaman dealer dan dalam keadaan bersih dari kotoran/debu, tidak terlipat, tidak bertumpukan  dengan material promosi lain , tidak berkibar (sisi kanan dan kiri harus terikat)i dan ter-update sesuai ketentuan PT AHM.
2. Vertical banner ditempatkan dihalaman dealer/pagar dealer dan dalam keadaan bersih dari kotoran/debu, tidak terlipat, tidak bertumpukan  dengan material promosi lain dan ter-update sesuai ketentuan PT AHM.
2. Periode pemasangan sesuai dengan ketentuan PT AHM"			B16	DIRECT	C16	SOURCE_BLANK	D16	DIRECT	E16	F16	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	17	Material Promosi Eksterior		HGP atau AHM Oil Poster	"1. Poster dalam keadaan bersih dari kotoran/debu, tidak terlipat, tidak bertumpukan  dengan material promosi lain dan ter-update sesuai ketentuan PT AHM.
2. Terdapat di AHASS / ruang tunggu AHASS
*Periode pemasangan sesuai dengan ketentuan PT AHM."			B17	DIRECT	C17	SOURCE_BLANK	D17	DIRECT	E17	F17	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	18	Parking Area		Parking Area Big Bike	"1. Area parkir khusus untuk konsumen Big Bike
2. Memliki marka parkir (warna kuning)
3. Bentuk dan ukuran Marka parkir mengikuti juklak
4. Memiliki parking lot untuk 2 motor bigbike
5. Terpisah dengan parking lot reguler
6. Bersih dan tertata rapi (kendaraan tertata di dalam marka)
7. Digunakan untuk parkir konsumen loyal (champion & racer)"			B18	DIRECT	C18	SOURCE_BLANK	D18	DIRECT	E18	F18	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	19	Parking Area		Parking Area	"1. Area parkir khusus digunakan untuk parkir customer.
2. Memiliki marka parkir (warna putih/kuning)
3. Bentuk Marka parkir mengikuti juklak
4. Bersih dan tertata rapi (kendaraan tertata di dalam marka)
*) Nilai N/A : bagi dealer yang tidak memiliki lahan untuk parkir (misal langsng trotoar/jalan)."			B19	DIRECT	C19	SOURCE_BLANK	D19	DIRECT	E19	F19	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	20	Parking Area	Atribut Exterior	Direction Signage (Showroom, Service, Spareparts)	"1. Terlihat jelas oleh customer
2. Tanda penunjuk arah pada signage mengarahkan dan sesuai dengan lokasi Parkir/Showroom/AHASS
*Mengikuti juklak yang ada (di detailkan peruntukannya)"			B20	DIRECT	C20	DIRECT	D20	DIRECT	E20	F20	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	21	Interior	Atribut Interior	Dealing Table	"1. Dalam Keadaan Bersih
2. Dalam Keadaan Rapih dan Tidak Rusak
3. Tertata rapi
4. Price list disimpan dalam ""wadah acrylic brosur/pricelist
5. Meja bentuk bulat berwarna putih
6. 3 Kursi pada setiap dealing table/ mengikuti layout"			B21	DIRECT	C21	DIRECT	D21	DIRECT	E21	F21	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	22	Interior	Atribut Interior	Snack (nice to have) & Free coffee or tea	"1. Tersedia snack (nice to have),permen dan minuman amdk/teh/kopi
 2. Cangkir/gelas dalam keadaan bersih dan layak pakai
 3. Tertata rapi 
 4. Terdapat air minum dalam kemasan gratis 
 5. Diijinkan untuk bekerja sama dengan food/drink truck jika ada space yang memadai (nice to have)
6. Terdapat minuman berwarna untuk konsumen loyal (tier Champion)"			B22	DIRECT	C22	DIRECT	D22	DIRECT	E22	F22	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	23	Interior	Atribut Interior	"Corporate Identity Logo
(New VinCi)"	"1. Dalam Keadaan Bersih, Rapih, dan Tidak Rusak
2. Perletakan sesuai dengan denah dealer yang sudah diapprove AHM (tidak terdapat benda apapun diarea CI logo)"			B23	DIRECT	C23	DIRECT	D23	DIRECT	E23	F23	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	24	Interior	Atribut Interior	"Direction Sign 
(Papan Gantung /  Menempel di Dinding)
(New VinCi)"	"1. Dalam Keadaan Bersih
2. Dalam Keadaan Rapih dan Tidak Rusak
3. Terbaca dan Terlihat Jelas
4. Terdapat minimal : penjualan, pembiayaan, kasir, bengkel, suku cadang, ruang tunggu, toilet, no smoking, toilet"			B24	DIRECT	C24	DIRECT	D24	DIRECT	E24	F24	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	25	Interior	Atribut Interior	"- Sales Front Desk & Finance Front Desk
- Staff chair
(New VinCi)
- Customer chair 
(New VinCi)"	"1. Dalam Keadaan Bersih
2. Dalam Keadaan Rapih dan Tidak Rusak
3. Tertata rapi 
4. Jumlah & perletakan sesuai dengan denah Network yang sudah di approve AHM
5. Standar atribuit sesuai dengan juklak standar dari AHM"			B25	DIRECT	C25	DIRECT	D25	DIRECT	E25	F25	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	26	Interior	Wing Corner	Flooring Parquet	My Hero: Terdapat pada setiap smartphone sales force dan sudah berhasil login			B26	DIRECT	C26	DIRECT	D26	DIRECT	E26	F26	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	27	Interior	Wing Corner	Premium Unit Display	"1. Tertata dan terdisplay secara rapi dan bersih (tidak ada debu, terutama pada body, jok dan roda)
2. Untuk luas ukuran dan unit: disesuaikan dengan layout & lineup bulanan
3. Varian warna untuk Premium Unit display : 
- Hero Color/ Favorite Color / Variasi Warna
4. Diganti setiap 3 bulan (FIFO)
5. Menghadap ke arah pintu showroom atau pusat showroom
6. Mannequin apparel harus sesuai dengan unit diplay
7. Terdapat alas untuk main stand maupun side stand

*) Tipe unit yang di-display sesuai dengan juklak bulanan yang dikirim PT AHM"			B27	DIRECT	C27	DIRECT	D27	DIRECT	E27	F27	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	28	Interior	Wing Corner	Wing Dealing Table	"1. Dalam Keadaan Bersih
2. Dalam Keadaan Rapih dan Tidak Rusak
3. Tertata rapi
4. Price list disimpan dalam ""wadah acrylic brosur/pricelist""
5.  Meja bewarna putih
6. 3 Kursi pada setiap dealing table / sesuaikan dengan layout
7. Semua Prospect wajib dicatat di NMS Mobile / FLP Apps"			B28	DIRECT	C28	DIRECT	D28	DIRECT	E28	F28	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	29	Interior	Wing Corner	Wall system display & Glass Show Case (New VinCi)	"1. Pengaturan wall system dislay & glass show case di area wing corner harus mengikuti juklak yang dikirim oleh AHM setiap bulannya
 2. Penempatan dan Jumlah Wall System Display & Glass showcase sesuai dengan layout yang sudah disetujui
 3. Apparel yang di display di wall system harus menggunakan hanger (kayu), dalam keadaan rapih, tanpa debu, dilengkapi dengan price tag (per item) ,tanpa plastik pembungkus (optional : apabila posisi dealer terbuka mudah terkena debu, boleh menggunakan plastik mika).
 4. Glass show case di area wing corner : hanya boleh display Aksesoris motor premium & semua apparel berukuran kecil. Wajib display tanpa kemasan/ plastik & harus menggunakan price tag per item. 
 
 Wall System & Glass Showcase / Furniture
 1. Dalam Keadaan Bersih
 2. Dalam Keadaan Rapih dan Tidak Rusak"			B29	DIRECT	C29	DIRECT	D29	DIRECT	E29	F29	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	30	Interior	Wing Corner	"Spec Stand 
(New VinCi)"	"1. Ditempatkan didalam area H1 dan bersebelahan dengan unit display (dibagian hero & isolate stage)
2. Terdapat sticker logo Honda
3. Dalam Keadaan Bersih
4. Dalam Keadaan Rapih dan Tidak Rusak
5. Type sesuai dengan unit yang didisplay
6. Matprom yang digunakan sesuai dengan standard AHM"			B30	DIRECT	C30	DIRECT	D30	DIRECT	E30	F30	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	31	Interior	Wing Corner	"Glass Showcase
(New VinCi)"	"1. Jika glass showcase ada di Premium Corner, maka yang harus di-display adalah Aksesoris Premium 
2. Apparel dapat di-display dalam Glass Showcase, kecuali Jacket, T-Shirt, dan Helmet 
3. Aksesoris dan Apparel yang di-display dalam Glass Showcase dikeluarkan dari kemasan atau packaging-nya (kelengkapan baut, manual, dan lainnya tidak di-display di dalam Glass Showcase).
4. Menggunakan acrylic display untuk :
a. Aksesoris dan Apparel kecil seperti sarung tangan, Tank Pad, Garnish, dll.
b. Aksesoris dan Apparel besar seperti Seat Cowl, Fender Eliminator, dll. Specification : Material : Acrylic, Size : 90mm x 60mm Note : Ukuran tidak harus identik sama                                                               
5. Menggunakan acrylic Price Tag dengan ketentuan sbb :
a. Berisikan Informasi mengenai Part Number, Deskripsi, Tipe Motor, dan HET
b. Price Tag harus dapat memberikan informasi yang sejelas-jelasnya kepada konsumen c. mengenai Accessories atau Apparel yang di-display
Design Price Tag mengikuti format yang sudah ada di masing-masing Main Dealer saat ini. Specification : Material : Acrylic (Clear), Size : 100mm x 70 mm Note : Ukuran tidak harus identik sama    

Glass Showcase / Furniture
1. Dalam Keadaan Bersih
2. Dalam Keadaan Rapih dan Tidak Rusak"			B31	DIRECT	C31	DIRECT	D31	DIRECT	E31	F31	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	32	Interior	Big Wing Area	Honda Big Wing Logo	"1. Dalam keadaan bersih (Terbebas dari kotoran)
2. Perletakan sesuai dengan denah dealer yang sudah diapprove AHM"			B32	DIRECT	C32	DIRECT	D32	DIRECT	E32	F32	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	33	Interior	Big Wing Area	Big Wing Unit Display	"1.  Display unit Big Bike hanya dapat dilakukan di Premium Corner dan tidak dapat digabungkan dengan display unit premium maupun regular.
2. Display Unit Big Bike di Premium Corner wajib selalu dalam kondisi bersih (tidak berdebu, roda wajib dipoles).
3. Jumlah, tipe dan warna unit display Big Bike menyesuaikan dengan juklak bulanan yang dikirim oleh MPA Division AHM.
4.  Apabila tersedia mannequin apparel, maka posisi mannequin apparel harus berada dekat dengan display unit Big Bike yang sesuai.
5. Display Unit Big Bike dengan menggunakan alas untuk main stand, side stand dan/atau paddock stand."			B33	DIRECT	C33	DIRECT	D33	DIRECT	E33	F33	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	34	Interior	Big Wing Area	Accessories and Apparel Rack	"1. Pengaturan Accessories dan Apparel Rack di Big Wing Area mengacu kepada guidance yang dikirimkan oleh AHM
 2. Apparel yang di display di wall system harus menggunakan hanger (kayu berwarna hitam), dalam keadaan rapih, tanpa debu, dilengkapi dengan price tag (per item) ,tanpa plastik pembungkus (optional : apabila posisi dealer terbuka mudah terkena debu, boleh menggunakan plastik mika).
 3. Menggunakan acrylic price tag (berisi info PN, tipe motor & HET) per itemnya.
 4. Penempatan rak sesuai dengan Layout yang sudah disetujui 
 
 Accessories & Apparel Rack 
 1. Dalam Keadaan Bersih
 2. Dalam Keadaan Rapih dan Tidak Rusak"			B34	DIRECT	C34	DIRECT	D34	DIRECT	E34	F34	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	35	Interior	Big Wing Area	Informasi terkait Aksesoris Big Bike (Hard Copy atau Soft Copy)	"1. Digunakan untuk penyimpanan media informasi berupa Sales Talk Aksesoris Big Bike 
2. Jumlah sales talk sesuai dengan Juklak yang dikirimkan oleh PT. AHM setiap bulannya
3. Tidak disimpan di Dealing Table"			B35	DIRECT	C35	DIRECT	D35	DIRECT	E35	F35	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	36	Interior	Big Wing Area	"- Premium Corner Counter
- Vas Bunga pada Premium Corner
- Vas Torch Silver
- Vas Bunga Mini Table
- Barier Sofa"	"1. Dalam keadaan bersih (terbebas dari kotoran)
2. Tertata rapi
3. Perletakan sesuai dengan denah dealer yang sudah diapprove AHM"			B36	DIRECT	C36	DIRECT	D36	DIRECT	E36	F36	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	37	Interior	Big Wing Area	Premium corner sofa + mini table	"1. Dalam keadaan bersih
2. Tertata rapi
3. Dilengkapi permen, vas bunga (maks. 20 cm), buku tamu, AMDK (maks. 3 pcs), tisu basah kemasan botol
4.  Meja bewarna putih"			B37	DIRECT	C37	DIRECT	D37	DIRECT	E37	F37	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	38	Interior	Big Wing Area	"Premium Corner Spec Stand
(Nice To Have)"	"1. Ditempatkan didalam area H1 dan bersebelahan dengan unit display.
2. Terdapat sticker logo Honda
3. Dalam Keadaan Bersih
4. Dalam Keadaan Rapih dan Tidak Rusak
5. Type sesuai dengan unit yang didisplay
6. Matprom yang digunakan sesuai dengan standard AHM"			B38	DIRECT	C38	DIRECT	D38	DIRECT	E38	F38	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	39	Material Promosi Interior		X-banner Product	"1. Jika terdapat unit display, maka tidak perlu memasang X-banner
2. X-banner dalam keadaan bersih dari kotoran/debu, tidak terlipat dan ter-update sesuai ketentuan PT AHM.
3. Dalam keadaan bersih dari kotoran / debu dan kondisi baik 

*Periode pemasangan harus sesuai dengan ketentuan line up bulanan
*X-banner sales program/campaign/new product diprioritaskan
*Jika memiliki TV / Digital Singane maka untuk matprom interior dapat dishow di TV / Digital Signage & disesuaikan dengan guidance konten management dari AHM"	S G P	S G P	B39	DIRECT	C39	SOURCE_BLANK	D39	DIRECT	E39	F39	DIRECT
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	40	Material Promosi Interior	Material Promosi Customer Apps		"Materi Promosi Customer Apps terpasang dengan baik di tempat yang dapat terbaca oleh konsumen (cth : Ruang tunggu AHASS dan/atau Showroom H1)

Rekomendasi ketentuan Materi Promosi Customer Apps  :
1. Kondisi di dalam ruangan, tidak rusak, bersih, dan terlihat oleh konsumen
2. Ditekankan lebih ke tujuan item ini untuk meningkatkan awareness customer            
3. Materi Customer Apps dapat dimasukkan ke digital signage
"			B40	DIRECT	C40	DIRECT	D40	SOURCE_BLANK	E40	F40	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	41	Material Promosi Interior		Wobbler	"1.  Terpasang sesuai di unit motor (di setiap series produk) minimal dipasang di 3 tipe yang berbeda
2. Terdapat QR Code untuk scan aksesoris (unit baru)
3. Terbaca oleh konsumen
4. Design 2 sisi
*Disusun berdasarkan juklak bulanan yang dikirimkan oleh PT. AHM"	S G P	S G P	B41	DIRECT	C41	SOURCE_BLANK	D41	DIRECT	E41	F41	DIRECT
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	42	Material Promosi Interior		Honda Contact Center Promotion	"1. TERLIHAT DENGAN JELAS dan ditempatkan di area yang terlihat oleh konsumen terutama area Ruang Tunggu / Showroom 
2. Design sesuai juklak AHM terupdate
3. Berbentuk X-Banner / TVC / Spanduk / Flyer / Poster/ Digital Signage (Sesuai Juklak HC3 AHM) dengan memperhatikan ViCi Honda
4. Nomor telepon yang tertera adalah nomor telepon call center 1-500-989 (Mandatory)
5. dan Nomor Telepon Hotline Main Dealer"	S G P	S G P	B42	DIRECT	C42	SOURCE_BLANK	D42	DIRECT	E42	F42	DIRECT
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	43	Material Promosi Interior		LCD TV	"1. Ditempatkan di dalam showroom 
2. Minimal berukuran 32 inchi dan dinyalakan selama jam buka showroom
3. Terdapat looping TVC. 
4. Dalam keadaan berfungsi (menyala)
5. Bersih / bebas dari debu
6. Menampilkan video commercial dan tutorial Customer Apps bagi konsumen"	S G P	S G P	B43	DIRECT	C43	SOURCE_BLANK	D43	DIRECT	E43	F43	DIRECT
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	44	Material Promosi Interior		Racing video + PDSA video	"1. Di tampilkan liputan sesuai dengan ketentuan dan juklak dari PT AHM
> Racing video untuk Wing dishow di tv di Wing corner, sisanya diruang tunggu
2. Untuk Wing Dealer, akan disertakan material racing video, premium product, dan PDSA Video"	G P	G P	B44	DIRECT	C44	SOURCE_BLANK	D44	DIRECT	E44	F44	DIRECT
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	45	Material Promosi Interior		"Poster Display 
*> 2 ruko"	"1. Ditempatkan didalam area H1 dan dekat dengan ruang tunggu (dekat sofa ruang tunggu)
2. Dalam Keadaan Bersih
3. Dalam Keadaan Rapih dan Tidak Rusak
4. Berisikan promosi dan layanan yang ada di dealer (contoh : sales champaign di dealer)
5.  Peletakan berada di area showroom
6. Dilengkapi Poster / Tripod Banner Customer Apps MD (nice to have)"	G P	G P	B45	DIRECT	C45	SOURCE_BLANK	D45	DIRECT	E45	F45	DIRECT
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	46	Material Promosi Interior		Sticker Honda Challenging Spirit	"1. Terdapat di area Big Wing Area
2. Dalam keadaan bersih dari kotoran / debu dan kondisi baik
3. Peletakan sesuai dengan denah yang sudah disepakati bersama
* sesuai ketentuan PT AHM"	G P	G P	B46	DIRECT	C46	SOURCE_BLANK	D46	DIRECT	E46	F46	DIRECT
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	47	Unit Display	Unit Display	Unit Display Arrangement	"1. Mengelompokkan base on juklak bulanan yang dikirim oleh PT. AHM
2. Mengatur jarak antar unit minimum 60-70 cm 
3. Unit bersih (diperbolehkan menggunakan plastik wrapping jok dengan kondisi yang bersih dan rapi)
4. Melengkapi spion
5. Meletakkan di lokasi yang strategis (mudah dilihat konsumen)
6. Memberi penerangan yang cukup (Semua lampu dipastikan dalam kondisi menyala) 
7. Unit display dilengkapi dengan tag PDI
* sesuai ketentuan PT AHM"			B47	DIRECT	C47	DIRECT	D47	DIRECT	E47	F47	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	48	Unit Display	Unit Display	Unit Display di Stage (Old VinCi)	"1. Memasang produk sesuai juklak bulanan yang dikirimkan oleh PT. AHM
2. Meletakkan di area strategis, mudah dilihat.
3. Memberi penerangan yang cukup
* sesuai ketentuan PT AHM"			B48	DIRECT	C48	DIRECT	D48	DIRECT	E48	F48	SOURCE_BLANK
01. Checklist 2026_Final - BigWing.xlsx	H1 Premises	49	Unit Display	Unit Display	Unit display with accessories	"1. Semua motor harus terpasang aksesoris 
2. Jika ada varian motor yang sama namun berbeda warna atau tipe, cukup salah satu saja yang dipasang aksesoris (contoh : Di dealer ada BeAT Series maka cukup salah satu motor saja yang dipasang aksesoris)
*Sesuai dengan juklak yang dikirimkan bulanan oleh PT. AHM"	S G P	S G P	B49	DIRECT	C49	DIRECT	D49	DIRECT	E49	F49	DIRECT
