CONFIG_ID	SECRET_OR_NON_SECRET	OWNER	STORAGE_BOUNDARY	INJECTION_METHOD	DEFAULT_ALLOWED	ROTATION_REQUIRED	VALIDATION_METHOD	FAILURE_BEHAVIOR	REDACTION_RULE	DEPLOYMENT_STAGE_REQUIRED	THRESHOLD_CLASSIFICATION	THRESHOLD_ID
CFG-11	NON_SECRET	INFRASTRUCTURE	Config Map / File	ENV_VAR (EAB_MAX_RETRY_COUNT)	YES (2)	NO	Integer range check	Fail closed (2)	Log value	Stage 1	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	TR-024
CFG-12	NON_SECRET	INFRASTRUCTURE	Config Map / File	ENV_VAR (EAB_REQUEST_REPLAY_WINDOW_SEC)	YES (300)	NO	Integer range check	Fail closed (300s)	Log value	Stage 1	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	TR-025
CFG-13	NON_SECRET	INFRASTRUCTURE	Config Map / File	ENV_VAR (EAB_CLOCK_SKEW_TOLERANCE_SEC)	YES (60)	NO	Integer range check	Fail closed (60s)	Log value	Stage 1	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	TR-026
CFG-14	NON_SECRET	INFRASTRUCTURE	Config Map / File	ENV_VAR (KEY_ROTATION_GRACE_WINDOW_HOURS)	YES (24)	NO	Integer range check	Fail closed (24h)	Log value	Stage 1	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	TR-027
CFG-15	NON_SECRET	PRODUCT_OWNER	Config Map / File	ENV_VAR (EAB_PROMPT_TTL_HOURS)	YES (24)	NO	Integer range check	Fail closed (24h)	Log value	Stage 1	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	TR-028
CFG-16	NON_SECRET	INFRASTRUCTURE	Config Map / File	ENV_VAR (EAB_NONCE_RETENTION_SEC)	YES (600)	NO	Integer range check	Fail closed (600s)	Log value	Stage 1	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	TR-029
CFG-17	NON_SECRET	INFRASTRUCTURE	Config Map / File	ENV_VAR (EAB_RECEIPT_RETENTION_DAYS)	YES (30)	NO	Integer range check	Fail closed (30d)	Log value	Stage 1	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	TR-030
CFG-18	NON_SECRET	ENGINEERING	Config Map / File	ENV_VAR (EAB_HERMES_QUEUE_BACKEND)	YES ("HERMES")	NO	Backend connectivity	Fail closed (503)	Log value	Stage 1	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	N/A
CFG-19	NON_SECRET	ENGINEERING	Config Map / File	ENV_VAR (EAB_HERMES_QUEUE_PATH)	NO	NO	Path accessibility	Fail closed (503)	Log value	Stage 1	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	N/A
CFG-20	NON_SECRET	ENGINEERING	Config Map / File	ENV_VAR (EAB_REVIEW_QUEUE_DB_URI)	NO	NO	Database ping	Fail closed (503)	Log sanitized URI	Stage 1	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	N/A
CFG-21	NON_SECRET	ENGINEERING	Config Map / File	ENV_VAR (EAB_PENDING_STORAGE_PATH)	NO	NO	Path accessibility	Fail closed (503)	Log value	Stage 1	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	N/A
CFG-22	NON_SECRET	ENGINEERING	Config Map / File	ENV_VAR (EAB_DURABLE_BACKLOG_PATH)	NO	NO	Path accessibility	Fail closed (503)	Log value	Stage 1	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	N/A
CFG-23	NON_SECRET	INFRASTRUCTURE	Config Map / File	ENV_VAR (EAB_GATEWAY_PROCESS_IDENTITY)	NO	NO	Process identity format	Fail closed (Halt)	Log value	Stage 1	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	N/A
CFG-24	NON_SECRET	INFRASTRUCTURE	Config Map / File	ENV_VAR (EAB_GATEWAY_OWNERSHIP_LOCK_PATH)	NO	NO	Path accessibility	Fail closed (Halt)	Log value	Stage 1	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	N/A
CFG-25	NON_SECRET	INFRASTRUCTURE	Config Map / File	ENV_VAR (EAB_HERMES_WORKER_PROCESS_IDENTITY)	NO	NO	Process identity format	Fail closed (Halt)	Log value	Stage 1	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	N/A
CFG-26	NON_SECRET	INFRASTRUCTURE	Config Map / File	ENV_VAR (EAB_HERMES_WORKER_LOCK_PATH)	NO	NO	Path accessibility	Fail closed (Halt)	Log value	Stage 1	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	N/A
CFG-27	NON_SECRET	INFRASTRUCTURE	Config Map / File	ENV_VAR (EAB_TELEGRAM_UPDATE_MODE)	YES ("POLLING")	NO	Enum validation	Fail closed (Halt)	Log value	Stage 1	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	N/A
CFG-28	NON_SECRET	INFRASTRUCTURE	Config Map / File	ENV_VAR (EAB_PRODUCTION_UPDATE_BINDING_IDENTITY)	NO	NO	Identity string match	Fail closed (Halt)	Log value	Stage 4	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	N/A
CFG-29	NON_SECRET	INFRASTRUCTURE	Config Map / File	ENV_VAR (EAB_ENVIRONMENT)	NO ("prod"/"canary")	NO	Enum validation	Fail closed (Halt)	Log value	Stage 1	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	N/A
CFG-30	NON_SECRET	INFRASTRUCTURE	Config Map / File	ENV_VAR (EAB_CANARY_ROUTE_ID)	NO	NO	Route validation	Fail closed (403)	Log value	Stage 3	PROPOSED_DEPLOYMENT_DEFAULT_REQUIRING_M11_M12_VALIDATION	N/A
CFG-31	NON_SECRET	PRODUCT_OWNER	Config Map / File	ENV_VAR (ARFIN_FALLBACK_URL)	NO	NO	URL validation	Fail closed (Log warning)	Log URL	Stage 1	IMPLEMENTATION_CONFIGURATION_CONSTRAINT	N/A
