SIGNAL_ID	DOMAIN	SIGNAL_TYPE	EVENT_OR_METRIC_NAME	PRODUCER	MANDATORY_FIELDS	REDACTION_RULE	CARDINALITY_BOUNDARY	SUCCESS_CONDITION	WARNING_CONDITION	CRITICAL_CONDITION	RETENTION_CLASS	CORRELATION_FIELDS	CANDIDATE_SOURCE_PATH
SIG-012	REACTIVATION	EVENT	eab.backlog.reactivate	BACKLOG_STORE	predecessor_pending_id, new_pending_id, cycle	None	MEDIUM	status == REACTIVATED	status == STALE_PROMPT	status == MULTIPLE_CYCLES_BLOCKED	OPERATIONAL_AUDIT	predecessor_pending_id, new_pending_id	ecosystem/projects/earesmes-arfin-bridge/src/backlog/expiry_worker.py
SIG-013	DIRECT_ARFIN_COHERENCE	EVENT	eab.sync.arfin_coherence	SYNC_ENGINE	pending_id, eab_state, arfin_state, result	None	MEDIUM	result == IN_SYNC	result == ARFIN_SUPERSEDED	result == CONFLICT_ERROR	OPERATIONAL_AUDIT	pending_id, root_source_record_id	ecosystem/projects/earesmes-arfin-bridge/src/sync/sync_engine.py
SIG-014	QUEUE_REPLAY	EVENT	eab.hermes.queue_replay	HERMES_WORKER	hermes_queue_message_id, request_id, replay_result	None	MEDIUM	result == REPLAY_CACHED_HIT	result == REPLAY_DETECTED	result == REPLAY_ERROR	OPERATIONAL_AUDIT	hermes_queue_message_id, request_id	scripts/airo-hermes-worker
SIG-015	TIMEOUT_RECONCILIATION	EVENT	eab.timeout.reconcile	BOUNDED_ADAPTER	request_id, idempotency_key_hash, receipt_status	None	MEDIUM	status == RECONCILED	status == TIMEOUT_LOGGED	status == RECONCILE_FAILED	OPERATIONAL_AUDIT	request_id, idempotency_key_hash	ecosystem/projects/earesmes-arfin-bridge/src/adapter/bounded_adapter.py
SIG-016	OWNER_APPROVAL	EVENT	eab.owner.approval	REVIEW_QUEUE	review_item_id, owner_pseudonym, action	Keyed HMAC pseudonym	MEDIUM	action == APPROVED	action == REJECTED	action == INVALID_APPROVAL	FINANCIAL_AUDIT	review_item_id, owner_pseudonym	ecosystem/projects/earesmes-arfin-bridge/src/review_queue/queue_service.py
SIG-017	LEDGER_POST_RESULT	EVENT	eab.ledger.post_result	ARFIN_EXTERNAL_BOUNDARY	review_item_id, posting_id, ledger_post_status	Redact un-approved items	HIGH	status == SUCCEEDED	status == PENDING	status == FAILED_REQUIRES_RECONCILIATION	FINANCIAL_AUDIT	review_item_id, posting_id	arfin/external_boundary/arfin_api_client.py
SIG-018	AUDIT_PIPELINE	EVENT	eab.redaction.audit	LOG_PIPE	log_line_id, redaction_status	Must redact all secrets	LOW	status == CLEAN	status == REDACTED	status == REDACTION_FAIL	SECURITY_AUDIT	log_line_id, deployment_version	scripts/airo-hermes-worker
SIG-019	TELEGRAM_UPDATE_OWNERSHIP	EVENT	eab.gateway.ownership	GATEWAY	process_identity, telegram_update_mode, production_binding_identity, webhook_url_hash_or_none, getupdates_owner_identity_or_none, ownership_status, deployment_version	Hash webhook URL credentials	LOW	ownership_status == EXCLUSIVE_OWNER	ownership_status == DUAL_OWNER_ALERT	ownership_status == UNKNOWN_OWNERSHIP	SECURITY_AUDIT	process_identity, production_binding_identity, deployment_version	ops/telegram/telegram-gateway.py
SIG-020	CANARY_ROUTE	EVENT	eab.canary.route_eval	CANARY_GUARD	request_id, owner_actor_pseudonym, owner_conv_pseudonym, canary_stage, result	Keyed HMAC pseudonym	LOW	result == CANARY_ALLOWED	result == CANARY_REJECTED	result == CANARY_ABORTED	SECURITY_AUDIT	request_id, owner_actor_pseudonym, owner_conv_pseudonym, deployment_version	deploy/canary_guard.py
SIG-021	LEDGER_CORRECTION_WORKFLOW	EVENT	eab.ledger.correction_required	ARFIN_EXTERNAL_BOUNDARY	review_item_id, original_posting_id, correction_status, owner_authorization_status, audit_correlation_id	Redact un-authorized entries	HIGH	correction_status == LOGGED	correction_status == PENDING_OWNER_APPROVAL	correction_status == REJECTED	FINANCIAL_AUDIT	review_item_id, original_posting_id, audit_correlation_id	arfin/external_boundary/arfin_api_client.py
