type_code	type_description	product_segment	price_band	total_retail_2026	volume_share_pct	ytd_growth_status	portfolio_classification	strategic_action
MT1	PCX160 CBS	MATIK_HIGH	UPPER_MID_BAND	2064	2.79	RAPID_GROWTH	GROWTH_LAUNCH_MODEL	Accelerate delivery for new MT1 CBS generation
MF1	STYLO 160 CBS	MATIK_HIGH	UPPER_MID_BAND	1813	2.45	RAPID_GROWTH	GROWTH_LAUNCH_MODEL	Capitalize high-AT fashion demand pasca launch
MG0	Stylo 160 ABS	MATIK_HIGH	UPPER_MID_BAND	1816	2.46	PHASING_OUT	PHASING_OUT_LEGACY	Clear remaining MG0 stock and transition to MG1/MGA
MF0	Stylo 160 CBS	MATIK_HIGH	UPPER_MID_BAND	1630	2.20	PHASING_OUT	PHASING_OUT_LEGACY	Clear remaining MF0 stock and transition to MF1
MG1	STYLO 160 ABS	MATIK_HIGH	UPPER_MID_BAND	1548	2.09	RAPID_GROWTH	GROWTH_LAUNCH_MODEL	Promote premium ABS Stylo variant in Kota Jambi
MM2	BEAT STREET	MATIK_LOW	MID_BAND	1172	1.58	JULY_FACELIFT_LAUNCH	GROWTH_LAUNCH_MODEL	Accelerate July 2026 facelift rollout
MT0	PCX160 CBS	MATIK_HIGH	UPPER_MID_BAND	1044	1.41	PHASING_OUT	PHASING_OUT_LEGACY	Run-out legacy MT0 stock
ND0	VARIO 125 CBS	MATIK_MID	MID_BAND	990	1.34	STABLE_MID_AT	BACKBONE_VOLUME_LEADER	Maintain entry 125cc AT option
MW1	PCX160 Honda RoadSync	MATIK_HIGH	UPPER_MID_BAND	949	1.28	RAPID_GROWTH	GROWTH_LAUNCH_MODEL	Promote RoadSync connected features
LV1	VARIO 160 CBS	MATIK_HIGH	UPPER_MID_BAND	925	1.25	PHASING_OUT	PHASING_OUT_LEGACY	Transition to Vario Evo 160 series
MV1	PCX160 ABS	MATIK_HIGH	UPPER_MID_BAND	906	1.22	RAPID_GROWTH	GROWTH_LAUNCH_MODEL	Support PCX ABS premium demand
LVE	VARIO 160 CBS	MATIK_HIGH	UPPER_MID_BAND	669	0.90	PHASING_OUT	PHASING_OUT_LEGACY	Clear LVE variant inventory
MJ2	BEAT SPORTY CBS	MATIK_LOW	ENTRY_BAND	665	0.90	JULY_FACELIFT_LAUNCH	GROWTH_LAUNCH_MODEL	Accelerate July 2026 facelift rollout
LW1	VARIO 160 ABS	MATIK_HIGH	UPPER_MID_BAND	667	0.90	PHASING_OUT	PHASING_OUT_LEGACY	Transition to Vario Evo ABS series
MGA	STYLO 160 ABS SPECIAL	MATIK_HIGH	UPPER_MID_BAND	645	0.87	NEW_SPECIAL_EDITION	GROWTH_LAUNCH_MODEL	Promote special edition Stylo ABS
NF0	VARIO 125 STREET	MATIK_MID	MID_BAND	615	0.83	GROWING_MID_AT	NICHE_SPECIALTY_MODEL	Target sporty 125cc AT buyers
KG0	CB150 VERZA CW	SPORT_LOW	MID_BAND	583	0.79	STABLE_SPORT	NICHE_SPECIALTY_MODEL	Support commercial & fleet sport sales
ESK	CRF150L	SPORT_MID	UPPER_MID_BAND	560	0.76	STABLE_SPORT	NICHE_SPECIALTY_MODEL	Maintain trail variant supply
LZ2	GENIO CBS ISS	MATIK_LOW	MID_BAND	522	0.71	STABLE_LOW_AT	NICHE_SPECIALTY_MODEL	Maintain entry ISS AT option
ML2	BEAT SPORTY DLX SMART KEY	MATIK_LOW	MID_BAND	476	0.64	JULY_FACELIFT_LAUNCH	GROWTH_LAUNCH_MODEL	Accelerate July 2026 facelift rollout
MV0	PCX160 ABS	MATIK_HIGH	UPPER_MID_BAND	376	0.51	PHASING_OUT	PHASING_OUT_LEGACY	Clear legacy MV0 stock
MW0	PCX160 RoadSync	MATIK_HIGH	UPPER_MID_BAND	279	0.38	PHASING_OUT	PHASING_OUT_LEGACY	Clear legacy MW0 stock
NA0	ADV160 CBS	MATIK_HIGH	UPPER_MID_BAND	264	0.36	STABLE_ADV_AT	NICHE_SPECIALTY_MODEL	Support adventure AT segment
LY2	GENIO CBS	MATIK_LOW	MID_BAND	216	0.29	STABLE_LOW_AT	NICHE_SPECIALTY_MODEL	Maintain entry Genio option
MK2	BEAT SPORTY CBS ISS	MATIK_LOW	MID_BAND	181	0.24	JULY_FACELIFT_LAUNCH	GROWTH_LAUNCH_MODEL	Accelerate July 2026 facelift rollout
ES7	CRF150L	SPORT_MID	UPPER_MID_BAND	166	0.22	STABLE_SPORT	NICHE_SPECIALTY_MODEL	Support trail variant demand
HJ9	NEW SUPRA GTR150 SPORTY	CUB_MID	ENTRY_BAND	161	0.22	STABLE_CUB	NICHE_SPECIALTY_MODEL	Support performance CUB segment
NC0	ADV160 RoadSync	MATIK_HIGH	UPPER_MID_BAND	158	0.21	STABLE_ADV_AT	NICHE_SPECIALTY_MODEL	Support adventure RoadSync AT segment
KF0	CB150 VERZA SW	SPORT_LOW	MID_BAND	144	0.19	STABLE_SPORT	NICHE_SPECIALTY_MODEL	Support workhorse sport sales
MZ0	VARIO EVO 160 ABS	MATIK_HIGH	UPPER_MID_BAND	136	0.18	JULY_NEW_RELEASE	GROWTH_LAUNCH_MODEL	Support Vario Evo ABS launch
HJK	NEW SUPRA GTR150	CUB_MID	ENTRY_BAND	120	0.16	STABLE_CUB	NICHE_SPECIALTY_MODEL	Support CUB 150cc segment
NB0	ADV160 ABS	MATIK_HIGH	UPPER_MID_BAND	116	0.16	STABLE_ADV_AT	NICHE_SPECIALTY_MODEL	Support premium ADV ABS sales
MY0	VARIO EVO 160 CBS Nitro	MATIK_HIGH	UPPER_MID_BAND	102	0.14	JULY_NEW_RELEASE	GROWTH_LAUNCH_MODEL	Support Vario Evo Nitro launch
MYA	VARIO EVO 160 CBS	MATIK_HIGH	UPPER_MID_BAND	93	0.13	JULY_NEW_RELEASE	GROWTH_LAUNCH_MODEL	Support Vario Evo CBS launch
ME0	EM1 e:	EV_ELECTRIC	PREMIUM_BAND	7	0.01	EV_COMMERCIAL	NICHE_SPECIALTY_MODEL	Promote EV ecosystem & B2B/B2C activation
MN0	CUV e:	EV_ELECTRIC	PREMIUM_BAND	3	0.00	EV_COMMERCIAL	NICHE_SPECIALTY_MODEL	Promote CUV e: EV roadsync duo launch
