relative_source_path	artifact_kind	program_family	effective_start	effective_end	period_basis	revision_flag	invalid_flag	canonical_use	currentness_note
2026/1. Jan/Revisi/3. Update PL Premium periode 3-31 Januari 2026.xlsx	PRICE_LIST_STRUCTURED	PREMIUM	2026-01-03	2026-01-31	FILENAME_EXPLICIT	YES	NO	PREFER_STRUCTURED_XLSX_FOR_NUMBERS	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/1. Jan/Revisi/4. Update PL Run Out Periode 3-31 Januari 2026.jpg	PRICE_LIST_PRESENTATION	RUN_OUT	2026-01-03	2026-01-31	FILENAME_EXPLICIT	YES	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/1. Jan/Revisi/4. Update PL Run Out Periode 3-31 Januari 2026.xlsx	PRICE_LIST_STRUCTURED	RUN_OUT	2026-01-03	2026-01-31	FILENAME_EXPLICIT	YES	NO	PREFER_STRUCTURED_XLSX_FOR_NUMBERS	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/1. Jan/Revisi/7. Update PL New Vario 125 Series Periode 3-31 Januari 2026.jpg	PRICE_LIST_PRESENTATION	VARIO	2026-01-03	2026-01-31	FILENAME_EXPLICIT	YES	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/1. Jan/Revisi/7. Update PL New Vario 125 Series Periode 3-31 Januari 2026.xlsx	PRICE_LIST_STRUCTURED	VARIO	2026-01-03	2026-01-31	FILENAME_EXPLICIT	YES	NO	PREFER_STRUCTURED_XLSX_FOR_NUMBERS	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/1. Jan.jpeg	SUPPORTING_ARTIFACT	OTHER	2026-01-01	2026-01-31	MONTH_FOLDER_INFERRED	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/2. Feb/Juklak feb 26/007 - Juklak Program Sales Support Periode Februari 2026_Dealer.pdf	PROGRAM_POLICY_JUKLAK	SALES_SUPPORT_POLICY	2026-02-01	2026-02-28	MONTH_FOLDER_INFERRED	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/2. Feb/Juklak feb 26/009 - Form Lamp. BAST program Voucher EM1 e Series & CUV e Series periode Februari 2026.xlsx	CLAIM_SUPPORT_FORM	EM1	2026-02-01	2026-02-28	MONTH_FOLDER_INFERRED	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/2. Feb/Juklak feb 26/009 - Juklak Program Sales Support Motor EV Periode Februari 2026_Dealer.pdf	PROGRAM_POLICY_JUKLAK	EV	2026-02-01	2026-02-28	MONTH_FOLDER_INFERRED	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/2. Feb/Juklak feb 26/011 - Form Lamp. BAST program Special Gift Honda periode Februari 2026.xlsx	CLAIM_SUPPORT_FORM	SPECIAL_GIFT_POLICY	2026-02-01	2026-02-28	MONTH_FOLDER_INFERRED	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/2. Feb/Juklak feb 26/011 - Juklak Program Special Gift Honda Periode 1-28 Februari 2026.pdf	PROGRAM_POLICY_JUKLAK	SPECIAL_GIFT_POLICY	2026-02-01	2026-02-28	FILENAME_EXPLICIT	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/2. Feb/Juklak feb 26/012 - Form Surat Informasi Syarat Klaim yang belum terpenuhi.docx	CLAIM_SUPPORT_FORM	CLAIM_POLICY	2026-02-01	2026-02-28	MONTH_FOLDER_INFERRED	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/2. Feb/Juklak feb 26/012 - Form Surat Konfirmasi penjualan yang tidak mengikuti program periode Februari 2026.docx	CLAIM_SUPPORT_FORM	OTHER	2026-02-01	2026-02-28	MONTH_FOLDER_INFERRED	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/2. Feb/Juklak feb 26/012 - Juklak Tata Cara Klaim Periode Februari 2026.pdf	PROGRAM_POLICY_JUKLAK	CLAIM_POLICY	2026-02-01	2026-02-28	MONTH_FOLDER_INFERRED	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/2. Feb/Juklak feb 26.zip	ARCHIVE_CONTAINER	OTHER	2026-02-01	2026-02-28	MONTH_FOLDER_INFERRED	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/2. Feb/msw feb 26/1. PL SMH 1 periode 1-28 Februari 2026.jpg	PRICE_LIST_PRESENTATION	SMH	2026-02-01	2026-02-28	FILENAME_EXPLICIT	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/2. Feb/msw feb 26/1. PL SMH 2 periode 1-28 Februari 2026.jpg	PRICE_LIST_PRESENTATION	SMH	2026-02-01	2026-02-28	FILENAME_EXPLICIT	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/2. Feb/msw feb 26/1. PL SMH periode 1-28 Februari 2026.xlsx	PRICE_LIST_STRUCTURED	SMH	2026-02-01	2026-02-28	FILENAME_EXPLICIT	NO	NO	PREFER_STRUCTURED_XLSX_FOR_NUMBERS	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/2. Feb/msw feb 26/2. PL SMH Accessories periode 1-28 Februari 2026.jpg	PRICE_LIST_PRESENTATION	SMH_ACCESSORIES	2026-02-01	2026-02-28	FILENAME_EXPLICIT	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/2. Feb/msw feb 26/2. PL SMH Accessories periode 1-28 Februari 2026.xlsx	PRICE_LIST_STRUCTURED	SMH_ACCESSORIES	2026-02-01	2026-02-28	FILENAME_EXPLICIT	NO	NO	PREFER_STRUCTURED_XLSX_FOR_NUMBERS	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/2. Feb/msw feb 26/3. PL Premium 1 periode 1-28 Februari 2026.jpg	PRICE_LIST_PRESENTATION	PREMIUM	2026-02-01	2026-02-28	FILENAME_EXPLICIT	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/2. Feb/msw feb 26/3. PL Premium 2 periode 1-28 Februari 2026.jpg	PRICE_LIST_PRESENTATION	PREMIUM	2026-02-01	2026-02-28	FILENAME_EXPLICIT	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/2. Feb/msw feb 26/3. PL Premium periode 1-28 Februari 2026.xlsx	PRICE_LIST_STRUCTURED	PREMIUM	2026-02-01	2026-02-28	FILENAME_EXPLICIT	NO	NO	PREFER_STRUCTURED_XLSX_FOR_NUMBERS	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/2. Feb/msw feb 26/4. PL Run Out Periode 1-28 Februari 2026.jpg	PRICE_LIST_PRESENTATION	RUN_OUT	2026-02-01	2026-02-28	FILENAME_EXPLICIT	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/2. Feb/msw feb 26/4. PL Run Out Periode 1-28 Februari 2026.xlsx	PRICE_LIST_STRUCTURED	RUN_OUT	2026-02-01	2026-02-28	FILENAME_EXPLICIT	NO	NO	PREFER_STRUCTURED_XLSX_FOR_NUMBERS	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/2. Feb/msw feb 26/5. PL EV periode 1-28 Februari 2026.jpg	PRICE_LIST_PRESENTATION	EV	2026-02-01	2026-02-28	FILENAME_EXPLICIT	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/2. Feb/msw feb 26/5. PL EV periode 1-28 Februari 2026.xlsx	PRICE_LIST_STRUCTURED	EV	2026-02-01	2026-02-28	FILENAME_EXPLICIT	NO	NO	PREFER_STRUCTURED_XLSX_FOR_NUMBERS	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/2. Feb/msw feb 26/6. PL Khusus EM1 reguler periode 1-28 Februari 2026.jpg	PRICE_LIST_PRESENTATION	EM1	2026-02-01	2026-02-28	FILENAME_EXPLICIT	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/2. Feb/msw feb 26/6. PL Khusus EM1 reguler periode 1-28 Februari 2026.xlsx	PRICE_LIST_STRUCTURED	EM1	2026-02-01	2026-02-28	FILENAME_EXPLICIT	NO	NO	PREFER_STRUCTURED_XLSX_FOR_NUMBERS	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/2. Feb/msw feb 26/7. MSW (Marketing Secret Weapon) periode 1-28 Februari 2026.jpeg	MSW_VISUAL_SUMMARY	MSW_SUMMARY	2026-02-01	2026-02-28	FILENAME_EXPLICIT	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/2. Feb/msw feb 26.zip	ARCHIVE_CONTAINER	MSW_SUMMARY	2026-02-01	2026-02-28	MONTH_FOLDER_INFERRED	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/3. Mar/Juklak/013 - Juklak Program Sales Support Periode Maret 2026_Dealer.pdf	PROGRAM_POLICY_JUKLAK	SALES_SUPPORT_POLICY	2026-03-01	2026-03-31	MONTH_FOLDER_INFERRED	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/3. Mar/Juklak/015 - Form Lamp. BAST program Voucher EM1 e Series & CUV e Series periode Maret 2026.xlsx	CLAIM_SUPPORT_FORM	EM1	2026-03-01	2026-03-31	MONTH_FOLDER_INFERRED	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/3. Mar/Juklak/015 - Juklak Program Sales Support Motor EV Periode Maret 2026_Dealer.pdf	PROGRAM_POLICY_JUKLAK	EV	2026-03-01	2026-03-31	MONTH_FOLDER_INFERRED	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/3. Mar/Juklak/017 - Form Lamp. BAST program Special Gift Honda periode Maret 2026.xlsx	CLAIM_SUPPORT_FORM	SPECIAL_GIFT_POLICY	2026-03-01	2026-03-31	MONTH_FOLDER_INFERRED	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/3. Mar/Juklak/017 - Juklak Program Special Gift Honda Periode Maret 2026.pdf	PROGRAM_POLICY_JUKLAK	SPECIAL_GIFT_POLICY	2026-03-01	2026-03-31	MONTH_FOLDER_INFERRED	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/3. Mar/Juklak/018 - Form Surat Informasi Syarat Klaim yang belum terpenuhi.docx	CLAIM_SUPPORT_FORM	CLAIM_POLICY	2026-03-01	2026-03-31	MONTH_FOLDER_INFERRED	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/3. Mar/Juklak/018 - Form Surat Konfirmasi penjualan yang tidak mengikuti program periode Maret 2026.docx	CLAIM_SUPPORT_FORM	OTHER	2026-03-01	2026-03-31	MONTH_FOLDER_INFERRED	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/3. Mar/Juklak/018 - Juklak Tata Cara Klaim Periode Maret 2026.pdf	PROGRAM_POLICY_JUKLAK	CLAIM_POLICY	2026-03-01	2026-03-31	MONTH_FOLDER_INFERRED	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/3. Mar/Juklak/03. Data ID Sales Program Maret 2026.xlsx	PROGRAM_ID_MASTER	OTHER	2026-03-01	2026-03-31	MONTH_FOLDER_INFERRED	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/3. Mar/PL/1. PL SMH 1 periode 1-31 Maret 2026.jpg	PRICE_LIST_PRESENTATION	SMH	2026-03-01	2026-03-31	FILENAME_EXPLICIT	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/3. Mar/PL/1. PL SMH 2 periode 1-31 Maret 2026.jpg	PRICE_LIST_PRESENTATION	SMH	2026-03-01	2026-03-31	FILENAME_EXPLICIT	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/3. Mar/PL/1. PL SMH periode 1-31 Maret 2026.xlsx	PRICE_LIST_STRUCTURED	SMH	2026-03-01	2026-03-31	FILENAME_EXPLICIT	NO	NO	PREFER_STRUCTURED_XLSX_FOR_NUMBERS	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/3. Mar/PL/2. PL SMH Accessories periode 1-31 Maret 2026.jpg	PRICE_LIST_PRESENTATION	SMH_ACCESSORIES	2026-03-01	2026-03-31	FILENAME_EXPLICIT	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/3. Mar/PL/2. PL SMH Accessories periode 1-31 Maret 2026.xlsx	PRICE_LIST_STRUCTURED	SMH_ACCESSORIES	2026-03-01	2026-03-31	FILENAME_EXPLICIT	NO	NO	PREFER_STRUCTURED_XLSX_FOR_NUMBERS	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/3. Mar/PL/3. PL Premium 1 periode 1-31 Maret 2026.jpg	PRICE_LIST_PRESENTATION	PREMIUM	2026-03-01	2026-03-31	FILENAME_EXPLICIT	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/3. Mar/PL/3. PL Premium 2 periode 1-31 Maret 2026.jpg	PRICE_LIST_PRESENTATION	PREMIUM	2026-03-01	2026-03-31	FILENAME_EXPLICIT	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/3. Mar/PL/3. PL Premium periode 1-31 Maret 2026.xlsx	PRICE_LIST_STRUCTURED	PREMIUM	2026-03-01	2026-03-31	FILENAME_EXPLICIT	NO	NO	PREFER_STRUCTURED_XLSX_FOR_NUMBERS	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/3. Mar/PL/4. PL Run Out Periode 1-31 Maret 2026.jpg	PRICE_LIST_PRESENTATION	RUN_OUT	2026-03-01	2026-03-31	FILENAME_EXPLICIT	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/3. Mar/PL/4. PL Run Out Periode 1-31 Maret 2026.xlsx	PRICE_LIST_STRUCTURED	RUN_OUT	2026-03-01	2026-03-31	FILENAME_EXPLICIT	NO	NO	PREFER_STRUCTURED_XLSX_FOR_NUMBERS	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/3. Mar/PL/5. PL EV periode 1-31 Maret 2026.jpg	PRICE_LIST_PRESENTATION	EV	2026-03-01	2026-03-31	FILENAME_EXPLICIT	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/3. Mar/PL/5. PL EV periode 1-31 Maret 2026.xlsx	PRICE_LIST_STRUCTURED	EV	2026-03-01	2026-03-31	FILENAME_EXPLICIT	NO	NO	PREFER_STRUCTURED_XLSX_FOR_NUMBERS	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/3. Mar/PL/6. PL Khusus EM1 reguler periode 1-31 Maret 2026.jpg	PRICE_LIST_PRESENTATION	EM1	2026-03-01	2026-03-31	FILENAME_EXPLICIT	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/3. Mar/PL/6. PL Khusus EM1 reguler periode 1-31 Maret 2026.xlsx	PRICE_LIST_STRUCTURED	EM1	2026-03-01	2026-03-31	FILENAME_EXPLICIT	NO	NO	PREFER_STRUCTURED_XLSX_FOR_NUMBERS	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/3. Mar/PL/7. MSW (Marketing Secret Weapon) periode 1-31 Maret 2026.jpeg	MSW_VISUAL_SUMMARY	MSW_SUMMARY	2026-03-01	2026-03-31	FILENAME_EXPLICIT	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/4. Apr/Juklak/019 - Juklak Program Sales Support Periode April 2026_Dealer.pdf	PROGRAM_POLICY_JUKLAK	SALES_SUPPORT_POLICY	2026-04-01	2026-04-30	MONTH_FOLDER_INFERRED	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/4. Apr/Juklak/021 - Form Lamp. BAST program Voucher EM1 e Series & CUV e Series periode April 2026.xlsx	CLAIM_SUPPORT_FORM	EM1	2026-04-01	2026-04-30	MONTH_FOLDER_INFERRED	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/4. Apr/Juklak/021 - Juklak Program Sales Support Motor EV Periode April 2026_Dealer.pdf	PROGRAM_POLICY_JUKLAK	EV	2026-04-01	2026-04-30	MONTH_FOLDER_INFERRED	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/4. Apr/Juklak/023 - Form Lamp. BAST program Special Gift Honda periode April 2026.xlsx	CLAIM_SUPPORT_FORM	SPECIAL_GIFT_POLICY	2026-04-01	2026-04-30	MONTH_FOLDER_INFERRED	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/4. Apr/Juklak/023 - Juklak Program Special Gift Honda Periode April 2026.pdf	PROGRAM_POLICY_JUKLAK	SPECIAL_GIFT_POLICY	2026-04-01	2026-04-30	MONTH_FOLDER_INFERRED	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/4. Apr/Juklak/024 - Form Surat Informasi Syarat Klaim yang belum terpenuhi periode April 2026.docx	CLAIM_SUPPORT_FORM	CLAIM_POLICY	2026-04-01	2026-04-30	MONTH_FOLDER_INFERRED	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/4. Apr/Juklak/024 - Form Surat Konfirmasi penjualan yang tidak mengikuti program periode April 2026.docx	CLAIM_SUPPORT_FORM	OTHER	2026-04-01	2026-04-30	MONTH_FOLDER_INFERRED	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/4. Apr/Juklak/024 - Juklak Tata Cara Klaim Periode April 2026.pdf	PROGRAM_POLICY_JUKLAK	CLAIM_POLICY	2026-04-01	2026-04-30	MONTH_FOLDER_INFERRED	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
2026/4. Apr/Juklak/04. Data ID Sales Program April 2026.xlsx	PROGRAM_ID_MASTER	OTHER	2026-04-01	2026-04-30	MONTH_FOLDER_INFERRED	NO	NO	SUPPORTING_AUTHORITY	Apply only inside effective interval; later explicit revision for same family supersedes overlapping earlier version.
