id	domain	original_source	source_unit	claim_paraphrase	original_binary_check	reconstructed_evidence	brain_trace_check	overall
S11	G	Materi Day 1 - Negotiation and Be a Great Problem Solver...pdf	page 4	Negotiation preparation uses BATNA and ZOPA	PASS	/mnt/data/_reconcile/AIRO_WorkDesk_Semantic_Reconstruction_Batch07_CRM_Customer_ProblemSolving_Cases_20260810/AIRO_WorkDesk_Semantic_Reconstruction_Batch07_CRM_Customer_ProblemSolving_Cases_20260810/02_DOMAIN_KNOWLEDGE/PRACTICAL_PROBLEM_SOLVING_AND_NEGOTIATION.md	PASS	PASS
S12	F	Materi Day 1 - Negotiation and Be a Great Problem Solver...pdf	page 55	PPS uses 5 Whys to reach root cause	PASS	/mnt/data/_reconcile/AIRO_WorkDesk_Semantic_Reconstruction_Batch07_CRM_Customer_ProblemSolving_Cases_20260810/AIRO_WorkDesk_Semantic_Reconstruction_Batch07_CRM_Customer_ProblemSolving_Cases_20260810/02_DOMAIN_KNOWLEDGE/PRACTICAL_PROBLEM_SOLVING_AND_NEGOTIATION.md	PASS	PASS
S13	G	ASSDP Advance for AHM_7^09Okt2025.pdf	page 69	Coaching framework uses GROW	PASS	/mnt/data/_reconcile/AIRO_WorkDesk_Semantic_Reconstruction_Batch08_ASSDP_Advance_2025_2026_20260810/AIRO_WorkDesk_Semantic_Reconstruction_Batch08_ASSDP_Advance_2025_2026_20260810/02_DOMAIN_KNOWLEDGE/COACHING_AND_PEOPLE_DEVELOPMENT.md	PASS	PASS
S14	G	ASSDP Advance for AHM_7^09Okt2025.pdf	page 5	Influence set includes Social Proof and Higher Purpose	PASS	/mnt/data/_reconcile/AIRO_WorkDesk_Semantic_Reconstruction_Batch08_ASSDP_Advance_2025_2026_20260810/AIRO_WorkDesk_Semantic_Reconstruction_Batch08_ASSDP_Advance_2025_2026_20260810/02_DOMAIN_KNOWLEDGE/COMMUNICATION_INFLUENCE_PRESENTATION.md	PASS	PASS
S15	E	Activity BTL.pdf	page 9	Exhibition/Roadshow is for coverage; Showroom Event is the dealer-premise exception	PASS	/mnt/data/_reconcile/AIRO_WorkDesk_Semantic_Reconstruction_Batch06_Activity_VE_CRM_20260810/AIRO_WorkDesk_Semantic_Reconstruction_Batch06_Activity_VE_CRM_20260810/02_DOMAIN_KNOWLEDGE/BTL_ACTIVITY_OPERATING_SYSTEM.md	PASS	PASS
S16	D	00. BEST Juli 2026 - Watermark.pdf	page 29	BEST monthly control includes PDI Digital implementation	PASS	/mnt/data/_reconcile/AIRO_WorkDesk_Semantic_Reconstruction_Batch05_NetDev_Reshape_BEST_20260810/AIRO_WorkDesk_Semantic_Reconstruction_Batch05_NetDev_Reshape_BEST_20260810/02_DOMAIN_KNOWLEDGE/BEST_MONTHLY_OPERATING_CONTROL_SYSTEM.md	PASS	PASS
S17	D	00. BEST Juli 2026 - Watermark.pdf	page 31	BEST reviews prospect→SPK conversion/control	PASS	/mnt/data/_reconcile/AIRO_WorkDesk_Semantic_Reconstruction_Batch05_NetDev_Reshape_BEST_20260810/AIRO_WorkDesk_Semantic_Reconstruction_Batch05_NetDev_Reshape_BEST_20260810/01_SOURCE_DOSSIERS/BEST_OPERATING_REVIEW_2025_2026.md	PASS	PASS
S18	A	ND Plan & Reshape Review_Sinsen 2026.pptx	slide 4	Area review compares PDRB/market drivers with CDB	PASS	/mnt/data/_reconcile/AIRO_WorkDesk_Semantic_Reconstruction_Batch05_NetDev_Reshape_BEST_20260810/AIRO_WorkDesk_Semantic_Reconstruction_Batch05_NetDev_Reshape_BEST_20260810/02_DOMAIN_KNOWLEDGE/ND_PLAN_AND_AREA_REVIEW_MODEL.md	PASS	PASS
S19	D	ND Plan & Reshape Review_Sinsen 2026.pptx	slide 33+	Reshape Network is an explicit review/implementation stream	PASS	/mnt/data/_reconcile/AIRO_WorkDesk_Semantic_Reconstruction_Batch05_NetDev_Reshape_BEST_20260810/AIRO_WorkDesk_Semantic_Reconstruction_Batch05_NetDev_Reshape_BEST_20260810/02_DOMAIN_KNOWLEDGE/RESHAPE_NETWORK_2026_MODEL.md	PASS	PASS
S20	E	Hasil Survei Pelanggan Virtual Exhibition (VE) 2025.pdf	page 2	Survey reports n=124 respondents	PASS	/mnt/data/_reconcile/AIRO_WorkDesk_Semantic_Reconstruction_Batch06_Activity_VE_CRM_20260810/AIRO_WorkDesk_Semantic_Reconstruction_Batch06_Activity_VE_CRM_20260810/01_SOURCE_DOSSIERS/VE_SURVEY_AND_LEADS_2025.md	PASS	PASS
S21	E	Hasil Survei Pelanggan Virtual Exhibition (VE) 2025.pdf	page 5	Promo menarik is reported 48 respondents / 39%	PASS	/mnt/data/_reconcile/AIRO_WorkDesk_Semantic_Reconstruction_Batch06_Activity_VE_CRM_20260810/AIRO_WorkDesk_Semantic_Reconstruction_Batch06_Activity_VE_CRM_20260810/01_SOURCE_DOSSIERS/VE_SURVEY_AND_LEADS_2025.md	PASS	PASS
S22	H	Egit Aristo Randas_Implementation Sales People Additional Incentives...pdf	page 5	Starting stock reported as 320 aging + 165 old type = 485	PASS	/mnt/data/_reconcile/AIRO_WorkDesk_Semantic_Reconstruction_Batch09_Baseline_Mopup_20260811/AIRO_WorkDesk_Semantic_Reconstruction_Batch09_Baseline_Mopup_20260811/01_SOURCE_DOSSIERS/OWNER_AGING_STOCK_INCENTIVE_CASE_2023.md	PASS	PASS
S23	H	Egit Aristo Randas_Implementation Sales People Additional Incentives...pdf	page 16	Pilot sales reported 13 in Nov → 26 in Dec 2023	PASS	/mnt/data/_reconcile/AIRO_WorkDesk_Semantic_Reconstruction_Batch09_Baseline_Mopup_20260811/AIRO_WorkDesk_Semantic_Reconstruction_Batch09_Baseline_Mopup_20260811/01_SOURCE_DOSSIERS/OWNER_AGING_STOCK_INCENTIVE_CASE_2023.md	PASS	PASS
S24	I	11. Analisa Pricing _ FID-BA.pptx	slide 3	Printed rate formula is syntactically ambiguous and must remain unresolved	PASS	/mnt/data/AIRO_WorkDesk_Cross_Source_Reconciliation_v0.2_Fidelity_Audit_20260811/00_RECONCILIATION_V0_1/04_UNRESOLVED/CONTRADICTION_UNRESOLVED_LEDGER.tsv	PASS	PASS
S25	I	9. Niguri AHM.pptx	slide 8	Niguri slide contains conflicting general 1/13/23 vs detailed 1/14 and logistics dates	PASS	/mnt/data/AIRO_WorkDesk_Cross_Source_Reconciliation_v0.2_Fidelity_Audit_20260811/00_RECONCILIATION_V0_1/04_UNRESOLVED/CONTRADICTION_UNRESOLVED_LEDGER.tsv	PASS	PASS
