bundle	filename	units_type	units_total	authority_hint	coverage_status	reconstruction_batch	limitation_categories	limitations
1. ASSDP Lite.zip	SINSEN - Egit Aristo Randas- PENETRASI - ASSDP Advance 2026.pdf	pages	20	OWNER_APPLIED_ADVANCE_CASE	RECONSTRUCTED_TRUSTED	BATCH08		All 20 pages reviewed. Targets, root causes, three-pillar strategy, monitoring and reported results retained as case memory. Page 18 contains internal timing/measure ambiguities that are preserved rather than silently reconciled.
1. ASSDP Lite.zip	Tabel MS ASSDP.xlsx	sheets	1	OWNER_CASE_MARKET_BASELINE	RECONSTRUCTED_WITH_LIMITATIONS	BATCH08	CURRENTNESS_OR_HISTORICAL_BOUNDARY|WORKBOOK_FORMULA_OR_EXECUTION_LIMIT	Workbook imported with artifact_tool. Displayed FY2025 ranking and brand-share values reconstructed. Some formulas point to cells beyond the displayed used range, so the workbook is not treated as a trusted recalculation engine.
1. ASSDP Lite.zip	40. Petunjuk Pelaksanaan Project Training ASSDP 2023 - Tahap 1.pdf	pages	3	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_TRUSTED	BATCH09		Historical 2023 graduation/project instruction; not a current operating policy.
1. ASSDP Lite.zip	88. Petunjuk Pelaksanaan Project Presentation Training ASSDP - Tahap 2.pdf	pages	3	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_TRUSTED	BATCH09		Historical 2023/2024 final-project instruction; not a current operating policy.
1. ASSDP Lite.zip	Egit Aristo Randas_Implementation Sales People Additional Incentives for Selected Dealer_ASSDP BASIC2023.pdf	pages	18	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_WITH_LIMITATIONS	BATCH09	CURRENTNESS_OR_HISTORICAL_BOUNDARY	Historical project case. Incentive amounts and observed sales changes are case facts, not current program terms or causal forecasts.
1. ASSDP Lite.zip	Form penilaian presentasi project ASSDP 2023 - Copy.xlsx	sheets	1	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_TRUSTED	BATCH09		One-sheet historical scoring template; no formula-error cells detected in inspected range.
1. ASSDP Lite.zip	1 2 Interpersonal Skill ASSDP Basic.PDF	pages	40	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_TRUSTED	BATCH09		Core method reconstructed. Source contains training/external claims that are retained as source claims rather than independently validated universal facts.
1. ASSDP Lite.zip	4 Presentation Skill ASSDP Basic.PDF	pages	40	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_TRUSTED	BATCH09		Core presentation method reconstructed. Several blank/visual-only pages add little textual semantic content.
1. ASSDP Lite.zip	Setting Goal_Time Management_RCA for AHM ASSDP Basic_7Juni2023.pdf	pages	47	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_TRUSTED	BATCH09		Time-management and Basic problem-solving method reconstructed; example percentages and dates remain historical training examples.
1. ASSDP Lite.zip	TS AHM ASSDP Basic.pdf	pages	137	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_WITH_LIMITATIONS	BATCH09	DUPLICATE_OR_AGGREGATION	Large compilation. Interpersonal and Presentation sections substantially duplicate standalone source files; unique Ambidextrous and visual-pitch material retained.
1. ASSDP Lite.zip	1. ASSDP Channel Management 2023.pptx	slides	27	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_WITH_LIMITATIONS	BATCH03	CURRENTNESS_OR_HISTORICAL_BOUNDARY	Actual-source reconstruction completed in this batch; 2023 dated rules/targets are historical unless current authority confirms.
1. ASSDP Lite.zip	10. Sales _ Stock Monitoring per Dealer.pptx	slides	12	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_TRUSTED	BATCH01		Validated source-specific reconstruction.
1. ASSDP Lite.zip	11. Analisa Pricing _ FID-BA.pptx	slides	16	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_TRUSTED	BATCH01		Validated source-specific reconstruction.
1. ASSDP Lite.zip	12. PICA.pptx	slides	31	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_TRUSTED	BATCH01		Validated source-specific reconstruction.
1. ASSDP Lite.zip	13. KPI Highlight - ASSDP Jun_23.pptx	slides	16	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_WITH_LIMITATIONS	BATCH03	CURRENTNESS_OR_HISTORICAL_BOUNDARY	Actual-source reconstruction completed in this batch; 2023 dated rules/targets are historical unless current authority confirms.
1. ASSDP Lite.zip	14. My Hero - ASSDP 2023.pptx	slides	17	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_WITH_LIMITATIONS	BATCH03	CURRENTNESS_OR_HISTORICAL_BOUNDARY	Actual-source reconstruction completed in this batch; 2023 dated rules/targets are historical unless current authority confirms.
1. ASSDP Lite.zip	15. INS ASSDP.pptx	slides	12	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_WITH_LIMITATIONS	BATCH03	CURRENTNESS_OR_HISTORICAL_BOUNDARY	Actual-source reconstruction completed in this batch; 2023 dated rules/targets are historical unless current authority confirms.
1. ASSDP Lite.zip	15. TTM ASSDP.pptx	slides	28	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_WITH_LIMITATIONS	BATCH03	CURRENTNESS_OR_HISTORICAL_BOUNDARY	Actual-source reconstruction completed in this batch; 2023 dated rules/targets are historical unless current authority confirms.
1. ASSDP Lite.zip	2. ASSDP Basic - PDCA.pptx	slides	10	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_TRUSTED	BATCH01		Validated source-specific reconstruction.
1. ASSDP Lite.zip	3-6. ASSDP Breakdown target, form dealer review _ TTFU, Targetting _ Forecasting dan komposisi DP .pptx	slides	39	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_WITH_LIMITATIONS	BATCH02	WORKBOOK_FORMULA_OR_EXECUTION_LIMIT|SOURCE_AMBIGUITY_OR_INCONSISTENCY	Actual-source reconstruction exists; unresolved items remain (e.g. Recovery Ratio detail / workbook external references where applicable).
1. ASSDP Lite.zip	7. Demand Management _ Recovery Rate.pptx	slides	31	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_WITH_LIMITATIONS	BATCH02	WORKBOOK_FORMULA_OR_EXECUTION_LIMIT|SOURCE_AMBIGUITY_OR_INCONSISTENCY	Actual-source reconstruction exists; unresolved items remain (e.g. Recovery Ratio detail / workbook external references where applicable).
1. ASSDP Lite.zip	8. Management Visit Guidance.pptx	slides	28	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_WITH_LIMITATIONS	BATCH02	WORKBOOK_FORMULA_OR_EXECUTION_LIMIT|SOURCE_AMBIGUITY_OR_INCONSISTENCY	Actual-source reconstruction exists; unresolved items remain (e.g. Recovery Ratio detail / workbook external references where applicable).
1. ASSDP Lite.zip	9. Niguri AHM.pptx	slides	11	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_WITH_LIMITATIONS	BATCH02	WORKBOOK_FORMULA_OR_EXECUTION_LIMIT|SOURCE_AMBIGUITY_OR_INCONSISTENCY	Actual-source reconstruction exists; unresolved items remain (e.g. Recovery Ratio detail / workbook external references where applicable).
1. ASSDP Lite.zip	AUM 191023.pdf	pages	15	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_WITH_LIMITATIONS	BATCH09	CURRENTNESS_OR_HISTORICAL_BOUNDARY	Dealer turnaround/best-practice sharing from 2021-2023. Reported achievements are historical source claims; causality is not assumed.
1. ASSDP Lite.zip	FINAL 19-10-2023 ASSDP MD SHARING.pdf	pages	28	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_WITH_LIMITATIONS	BATCH09	CURRENTNESS_OR_HISTORICAL_BOUNDARY	Bali 2023 market/strategy/activity sharing plus 2024 outlook. Numerical market/program details are historical, not current Jambi rules.
1. ASSDP Lite.zip	FINAL 19-10-2023 LOL BALI.pdf	pages	16	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_WITH_LIMITATIONS	BATCH09	CURRENTNESS_OR_HISTORICAL_BOUNDARY	Historical lead-management improvement case. Reported uplift is evidence from that project, not a transferable forecast.
1. ASSDP Lite.zip	FINAL 19-10-2023 SPV AREA SHARING.pdf	pages	13	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_WITH_LIMITATIONS	BATCH09	CURRENTNESS_OR_HISTORICAL_BOUNDARY	2023 Bali Area-SPV best-practice sharing; durable operating principles separated from local historical examples.
1. ASSDP Lite.zip	Leading Change AHM Harris Seminyak Handout.pdf	pages	55	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_WITH_LIMITATIONS	BATCH09	ILLUSTRATIVE_OR_EXTERNAL_CLAIM_BOUNDARY	Change/resilience/persuasion training reconstructed. Motivational statements and external claims are retained as training framing, not empirical guarantees.
1. ASSDP Lite.zip	Materi Project ASSDP.pptx	slides	101	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_WITH_LIMITATIONS	BATCH09	DUPLICATE_OR_AGGREGATION	99 of 101 slide texts matched exactly to already reconstructed constituent decks; treated as an aggregation/provenance source, not 101 new semantic units.
1. ASSDP Lite.zip	Project ASSDP Level Basic Tahap 1 by Egit Aristo Randas.pdf	pages	20	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_WITH_LIMITATIONS	BATCH09	CURRENTNESS_OR_HISTORICAL_BOUNDARY	Historical application case showing before/after adoption of ASSDP routines. It demonstrates implementation, not current policy authority.
1. ASSDP Lite.zip	118. Petunjuk Pelaksanaan Final Project Training ASSDP Intermediate (1).pdf	pages	2	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_TRUSTED	BATCH07		Training/final-project requirement reconstructed. Deadlines, cost recovery and event timing are historical administrative facts, not current operating rules.
1. ASSDP Lite.zip	ASSDP INTERMEDIATE CLOSING.pptx	slides	4	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_WITH_LIMITATIONS	BATCH09	OTHER_BOUNDED_LIMITATION	Only four slides. Preserves New/Breakthrough framing and Push-vs-Pull distinction; too thin to be a standalone operating method.
1. ASSDP Lite.zip	ASSDP Intemediate 2024 (1).pdf	pages	5	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_TRUSTED	BATCH07		Program agenda and learning sequence reconstructed; this source is context, not an operating policy.
1. ASSDP Lite.zip	Business Case ASSDP (1).xlsx	sheets	6	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_WITH_LIMITATIONS	BATCH07	OTHER_BOUNDED_LIMITATION	Workbook structure, sample market/MS/Honda inputs, exercise instructions, target-per-type layout and activity planning logic reconstructed. Many cells are intentionally blank exercise inputs and must not be interpreted as missing data or current targets.
1. ASSDP Lite.zip	Form Dealer Review (1).xlsx	sheets	22	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_WITH_LIMITATIONS	BATCH02	WORKBOOK_FORMULA_OR_EXECUTION_LIMIT|SOURCE_AMBIGUITY_OR_INCONSISTENCY	Actual-source reconstruction exists; unresolved items remain (e.g. Recovery Ratio detail / workbook external references where applicable).
1. ASSDP Lite.zip	H1_Studi Kasus ASSDP Intemediate.pptx	slides	43	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_TRUSTED	BATCH07		Actual slides reviewed. Case-study close relies on companion workbook for quantitative exercise; execution model is reconstructed without inventing missing answers.
1. ASSDP Lite.zip	HC3_Workshop CRM (4 Sep 2024) (1).pptx	slides	13	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_TRUSTED	BATCH07		CRM/CDB/leads flow reconstructed from actual slides. Daily allocation, follow-up cadence, tool names and funnel statuses are dated 2024 training guidance unless a newer source supersedes them.
1. ASSDP Lite.zip	Materi Day 1 _ Negotiation and Be a Great Problem Solver_for AHM_ASSDP_AI_2Sept2024.pdf	pages	91	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_WITH_LIMITATIONS	BATCH07	SOURCE_AMBIGUITY_OR_INCONSISTENCY	"Negotiation and Practical Problem Solving models reconstructed across 91 pages. Source contains an internal inconsistency: a page says ""6 Senjata Ampuh"" while the model shown/listed contains five influence weapons."
1. ASSDP Lite.zip	Materi Day 2 - ASSDP Intermediate.pdf	pages	121	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_WITH_LIMITATIONS	BATCH07	ILLUSTRATIVE_OR_EXTERNAL_CLAIM_BOUNDARY	Customer-focus and design-thinking system reconstructed from text plus visual review. Some presentation examples are illustrative; the source also shows a 9-slide/5-minute label while three sub-blocks each say 3 minutes, so duration is not treated as a reliable rule.
1. ASSDP Lite.zip	Strategic Winning AT High Through Boosting Brand Awareness.pdf	pages	13	TRAINING_OR_OWNER_ARTIFACT_PENDING_REVIEW	RECONSTRUCTED_TRUSTED	BATCH07		Owner applied case reconstructed with market background, targets, activities, monitoring and reported results. Metrics are a historical Merangin AT High case, not current 2026 targets or forecasts.
NOS.zip	02. Checklist 2023 Regular H123.xlsx	sheets	8	HISTORICAL_NETWORK_STANDARD	RECONSTRUCTED_WITH_LIMITATIONS	BATCH09	WORKBOOK_FORMULA_OR_EXECUTION_LIMIT	Eight-sheet blank audit template inspected at key ranges. Blank inputs produce expected #DIV/0! in summary formulas. Current NOS questions must resolve to 2026 standards.
NOS.zip	15. NOS ASSDP.pptx	slides	16	HISTORICAL_NETWORK_STANDARD	RECONSTRUCTED_WITH_LIMITATIONS	BATCH03	CURRENTNESS_OR_HISTORICAL_BOUNDARY	Actual-source reconstruction completed in this batch; 2023 dated rules/targets are historical unless current authority confirms.
NOS.zip	00. Checklist 2026_Before After Comparison (send MD).xlsx	sheets	7	CURRENT_NETWORK_STANDARD	RECONSTRUCTED_TRUSTED	BATCH04		Full 2025→2026 checklist change-control structure, guidance, status taxonomy, and current strategic direction reconstructed from actual workbook.
NOS.zip	01. Checklist 2026_Final - BigWing.xlsx	sheets	8	CURRENT_NETWORK_STANDARD	RECONSTRUCTED_WITH_LIMITATIONS	BATCH04	WORKBOOK_FORMULA_OR_EXECUTION_LIMIT	Current BigWing content and scoring logic reconstructed. Formula references contain indexed-sheet syntax as stored/parsed; template was not executed with a filled dealer audit.
NOS.zip	02. Checklist 2026_Final - Wing.xlsx	sheets	8	CURRENT_NETWORK_STANDARD	RECONSTRUCTED_WITH_LIMITATIONS	BATCH04	WORKBOOK_FORMULA_OR_EXECUTION_LIMIT	Current Wing content and scoring logic reconstructed. Formula references contain indexed-sheet syntax as stored/parsed; template was not executed with a filled dealer audit.
NOS.zip	03. Checklist 2026_Final - Regular H123.xlsx	sheets	8	CURRENT_NETWORK_STANDARD	RECONSTRUCTED_WITH_LIMITATIONS	BATCH04	WORKBOOK_FORMULA_OR_EXECUTION_LIMIT	Current Regular H123 content and scoring logic reconstructed. Formula references contain indexed-sheet syntax as stored/parsed; template was not executed with a filled dealer audit.
NOS.zip	04. Checklist 2026_Final - Regular H1.xlsx	sheets	5	CURRENT_NETWORK_STANDARD	RECONSTRUCTED_WITH_LIMITATIONS	BATCH04	WORKBOOK_FORMULA_OR_EXECUTION_LIMIT	Current Regular H1 content and scoring logic reconstructed. Formula references contain indexed-sheet syntax as stored/parsed; template was not executed with a filled dealer audit.
NOS.zip	05. Checklist 2026_Final - AHASS H23.xlsx	sheets	5	CURRENT_NETWORK_STANDARD	RECONSTRUCTED_WITH_LIMITATIONS	BATCH04	WORKBOOK_FORMULA_OR_EXECUTION_LIMIT	Current AHASS H23 content and scoring logic reconstructed. Formula references contain indexed-sheet syntax as stored/parsed; template was not executed with a filled dealer audit.
NOS.zip	06. NOS POS 2026.xlsx	sheets	4	CURRENT_NETWORK_STANDARD	RECONSTRUCTED_TRUSTED	BATCH04		Current H1 and H2 POS premises/people/process checklist content reconstructed from actual workbook.
NOS.zip	07. NOS BTL 2026.xlsx	sheets	2	CURRENT_NETWORK_STANDARD	RECONSTRUCTED_TRUSTED	BATCH04		Current H1/H23 BTL premises/people/process checklist content reconstructed from actual workbook.
NOS.zip	Checlist NOS 2026 H1 Premises Dealer.xlsx	sheets	2	CURRENT_NETWORK_STANDARD	RECONSTRUCTED_TRUSTED	BATCH04		Both sheets are exact semantic duplicates of H1 Premises in Regular H123 and Regular H1 final checklists; retained for provenance, no unique semantic content.
CASE_DRIVEN_DELTA_20260811	Transkrip_dan_MoM_NetDev_Strategy_2026_Integrated_TTM_POS.docx	pages	11	CURRENT_NETWORK_STRATEGY_SUPPORTING_SOURCE	RECONSTRUCTED_TRUSTED	CASE_DELTA_20260811	CURRENTNESS_BOUNDARY	Clean transcript/MoM corroborates screenshot meeting and resolves detailed terminology/action items; formal post-meeting guidance may supersede.
CASE_DRIVEN_DELTA_20260811	Pengkodean POS_Sinsen_Aug 2026.xlsx	sheets	2	CURRENT_BUSINESS_DATA	RECONSTRUCTED_WITH_LIMITATIONS	CASE_DELTA_20260811	SOURCE_DATA_QUALITY_GAPS	Working POS standardization snapshot reconstructed; missing class/kelurahan/coordinates and internal H1-vs-H23 notes preserved as unresolved data-quality issues.
CASE_DRIVEN_DELTA_20260811_MARKET_INFO	11-08-2026-Meeting(Audio)-2026-08-11T06-19-23-527Z(1).txt	transcript_minutes	30	CURRENT_MARKET_SENSING_SUPPORTING_SOURCE	RECONSTRUCTED_WITH_LIMITATIONS	CASE_DELTA_MARKET_INFO_20260811	SOURCE_COVERAGE_GAP	First 30 minutes reconstructed; source explicitly truncates longer meeting, so post-cutoff content is not claimed.
CASE_DRIVEN_DELTA_20260811_MARKET_INFO	Screenshot 2026-08-11 132416.png	screenshots	1	CURRENT_MARKET_SENSING_SUPPORTING_SOURCE	RECONSTRUCTED_TRUSTED	CASE_DELTA_MARKET_INFO_20260811	CROPPED_TAXONOMY	Workflow/fields are legible; event taxonomy visible subset is not treated as complete.
CASE_DRIVEN_DELTA_20260811_MARKET_INFO	Screenshot 2026-08-11 132725.png	screenshots	1	CURRENT_MARKET_SENSING_SUPPORTING_SOURCE	RECONSTRUCTED_TRUSTED	CASE_DELTA_MARKET_INFO_20260811	INTERNAL_ACCESS_EXCLUDED	Weekly cadence/deadline/no-event rule reconstructed; internal portal URL intentionally excluded from public ASB.
